iterations,fitness,time,fevals
0,18.0,0.000676102,806
10,19.0,0.001260306,1499
20,19.0,0.001884989,2200
30,19.0,0.002503837,2908
40,19.0,0.003107369,3610
50,20.0,0.003695585,4313
60,21.0,0.00428453,5023
70,21.0,0.004985794,5729
80,22.0,0.005556505,6435
90,21.0,0.006126487,7144
100,21.0,0.006688447,7847
110,22.0,0.007254783,8556
120,22.0,0.007818931,9260
130,22.0,0.00840423,9947
140,29.0,0.008995363,10648
150,29.0,0.00957191,11347
160,29.0,0.010153927,12040
170,31.0,0.010694007,12733
180,32.0,0.011243568,13445
190,29.0,0.011811363,14137
200,30.0,0.012381711,14835
210,33.0,0.012978679,15543
220,32.0,0.013558143,16231
230,32.0,0.014155476,16922
240,32.0,0.014761926,17632
250,33.0,0.015353424,18335
260,32.0,0.015940911,19035
270,33.0,0.016495578,19723
280,33.0,0.017053161,20412
290,33.0,0.01762205,21111
300,37.0,0.018204067,21814
310,34.0,0.018786449,22516
320,36.0,0.019392534,23223
330,34.0,0.020015759,23913
340,38.0,0.020636796,24600
350,42.0,0.02122246,25298
360,44.0,0.021770562,25991
370,48.0,0.022314288,26700
380,47.0,0.022855097,27406
390,49.0,0.023426539,28104
400,48.0,0.023973912,28797
410,50.0,0.024512533,29499
420,50.0,0.025039484,30203
430,51.0,0.025579928,30919
440,53.0,0.026107244,31619
450,54.0,0.026656805,32324
460,53.0,0.027204543,33022
470,53.0,0.027727847,33703
480,53.0,0.028263551,34395
490,54.0,0.028790867,35094
500,54.0,0.029322559,35797
510,56.0,0.029867379,36480
520,54.0,0.030404541,37167
530,54.0,0.030938421,37867
540,55.0,0.031463549,38572
550,54.0,0.031989041,39260
560,56.0,0.032501406,39958
570,56.0,0.03309254,40668
580,56.0,0.033613656,41356
590,57.0,0.034127114,42042
600,56.0,0.034661359,42742
610,56.0,0.035186122,43445
620,54.0,0.035704685,44146
630,57.0,0.036279044,44841
640,56.0,0.036832252,45528
650,55.0,0.037357744,46237
660,56.0,0.037876672,46942
670,56.0,0.038383566,47637
680,61.0,0.038905412,48344
690,61.0,0.039424705,49047
700,63.0,0.039928318,49746
710,64.0,0.040430107,50441
720,62.0,0.040941742,51137
730,61.0,0.041438425,51830
740,61.0,0.041915416,52528
750,64.0,0.042390584,53225
760,63.0,0.042873045,53923
770,62.0,0.043375928,54614
780,63.0,0.043864954,55305
790,61.0,0.044373307,56004
800,61.0,0.044896612,56696
810,61.0,0.045427574,57394
820,65.0,0.045947597,58082
830,65.0,0.046433705,58772
840,61.0,0.046948986,59456
850,62.0,0.04745041,60156
860,62.0,0.047970433,60852
870,64.0,0.048483892,61547
880,62.0,0.049052781,62250
890,62.0,0.049585932,62948
900,62.0,0.050108143,63658
910,61.0,0.050595345,64357
920,61.0,0.051071607,65063
930,64.0,0.05157996,65754
940,64.0,0.052067163,66455
950,68.0,0.052557648,67145
960,67.0,0.053029533,67835
970,63.0,0.055632198,68536
980,68.0,0.056153679,69234
990,65.0,0.056623377,69932
1000,63.0,0.057093075,70644
1010,64.0,0.057547456,71342
1020,64.0,0.058007673,72022
1030,63.0,0.058499616,72722
1040,63.0,0.058971502,73418
1050,65.0,0.059425518,74102
1060,67.0,0.059889746,74787
1070,65.0,0.060368196,75504
1080,65.0,0.060901711,76201
1090,67.0,0.061537699,76895
1100,67.0,0.062077779,77599
1110,66.0,0.062609471,78298
1120,67.0,0.063136422,78990
1130,67.0,0.063619248,79672
1140,67.0,0.06412833,80375
1150,70.0,0.064708159,81074
1160,66.0,0.065257355,81772
1170,66.0,0.065832808,82462
1180,66.0,0.066523861,83163
1190,66.0,0.067089103,83874
1200,66.0,0.067637205,84569
1210,68.0,0.068183119,85270
1220,68.0,0.068666309,85969
1230,70.0,0.069183779,86660
1240,74.0,0.069706719,87355
1250,74.0,0.070220907,88051
1260,74.0,0.070742388,88753
1270,74.0,0.071364154,89463
1280,74.0,0.071939242,90170
1290,74.0,0.072510319,90863
1300,74.0,0.073082854,91560
1310,71.0,0.073628768,92259
1320,72.0,0.074097737,92945
1330,71.0,0.074636358,93646
1340,74.0,0.075141065,94345
1350,74.0,0.075708495,95049
1360,71.0,0.076267538,95731
1370,74.0,0.07679449,96426
1380,74.0,0.077319253,97119
1390,74.0,0.077849122,97802
1400,74.0,0.078389566,98486
1410,74.0,0.078935116,99169
1420,74.0,0.079493064,99872
1430,77.0,0.080000688,100549
1440,76.0,0.080524357,101253
1450,76.0,0.081084858,101933
1460,76.0,0.081650465,102634
1470,77.0,0.082152253,103336
1480,76.0,0.082657324,104024
1490,76.0,0.083199227,104715
1500,76.0,0.083705392,105392
1510,76.0,0.084229426,106101
1520,77.0,0.084737414,106802
1530,77.0,0.085249049,107505
1540,75.0,0.08575959,108200
1550,74.0,0.08629821,108909
1560,74.0,0.086817504,109592
1570,74.0,0.087347372,110306
1580,74.0,0.087861925,111011
1590,74.0,0.088383041,111707
1600,75.0,0.088898687,112402
1610,73.0,0.089430379,113096
1620,73.0,0.089983951,113801
1630,73.0,0.090551016,114499
1640,74.0,0.091064839,115209
1650,73.0,0.091612576,115918
1660,74.0,0.092138433,116612
1670,75.0,0.092692734,117306
1680,75.0,0.093205828,117985
1690,77.0,0.093738614,118685
1700,80.0,0.094285987,119386
1710,79.0,0.094819503,120088
1720,80.0,0.095305611,120779
1730,74.0,0.095843867,121471
1740,79.0,0.096390876,122163
1750,74.0,0.096889382,122862
1760,72.0,0.097430921,123557
1770,74.0,0.097973189,124249
1780,72.0,0.098508892,124945
1790,72.0,0.099036572,125636
1800,72.0,0.099520127,126333
1810,72.0,0.100131317,127047
1820,72.0,0.100671031,127750
1830,72.0,0.101216581,128454
1840,72.0,0.101761036,129149
1850,72.0,0.102304397,129860
1860,71.0,0.102849582,130541
1870,70.0,0.10338565,131247
1880,70.0,0.103934481,131936
1890,73.0,0.104478207,132637
1900,74.0,0.105005159,133329
1910,77.0,0.105544874,134028
1920,72.0,0.106080213,134713
1930,72.0,0.106598412,135413
1940,71.0,0.107139586,136119
1950,71.0,0.107683677,136811
1960,71.0,0.108191665,137503
1970,71.0,0.108731744,138207
1980,71.0,0.109269271,138911
1990,71.0,0.109772518,139605
2000,71.0,0.110291447,140322
2010,71.0,0.110815117,141022
2020,71.0,0.111315082,141716
2030,71.0,0.111819789,142417
2040,71.0,0.112356586,143129
2050,74.0,0.112880255,143825
2060,77.0,0.113452061,144531
2070,77.0,0.113949109,145232
2080,78.0,0.114452721,145934
2090,78.0,0.114991342,146633
2100,77.0,0.115492766,147339
2110,78.0,0.115973768,148029
2120,70.0,0.116551773,148743
2130,70.0,0.11707289,149427
2140,70.0,0.117610782,150130
2150,72.0,0.118133358,150830
2160,70.0,0.118680731,151525
2170,67.0,0.119263477,152224
2180,68.0,0.119826166,152917
2190,68.0,0.120457049,153616
2200,66.0,0.121015726,154319
2210,67.0,0.121545595,154997
2220,67.0,0.122077287,155685
2230,69.0,0.122599862,156385
2240,67.0,0.123172033,157075
2250,68.0,0.123700078,157768
2260,67.0,0.124221559,158444
2270,67.0,0.12474851,159136
2280,67.0,0.125274003,159824
2290,65.0,0.125800225,160508
2300,68.0,0.126541239,161215
2310,68.0,0.127262196,161917
2320,68.0,0.127866822,162605
2330,66.0,0.128415654,163305
2340,66.0,0.1289313,163986
2350,69.0,0.129439653,164671
2360,69.0,0.129950559,165362
2370,67.0,0.130465841,166065
2380,68.0,0.130989145,166774
2390,67.0,0.131502603,167471
2400,67.0,0.131991264,168157
2410,69.0,0.132506545,168844
2420,70.0,0.133034955,169546
2430,69.0,0.133697929,170241
2440,69.0,0.13424202,170947
2450,70.0,0.134844459,171639
2460,70.0,0.135497587,172339
2470,70.0,0.135999011,173017
2480,70.0,0.136578475,173707
2490,70.0,0.137087922,174402
2500,71.0,0.137570019,175115
2510,70.0,0.138065609,175806
2520,71.0,0.138537494,176498
2530,69.0,0.139166919,177184
2540,69.0,0.139672354,177888
2550,70.0,0.140183989,178581
2560,71.0,0.140803203,179268
2570,70.0,0.141314838,179962
2580,70.0,0.141837413,180649
2590,74.0,0.142372022,181359
2600,74.0,0.14287454,182050
2610,73.0,0.14343103,182735
2620,73.0,0.143998095,183441
2630,73.0,0.144531246,184135
2640,76.0,0.145105604,184836
2650,73.0,0.145602287,185528
2660,75.0,0.1460935,186227
2670,76.0,0.146656189,186937
2680,78.0,0.147213043,187623
2690,77.0,0.147744005,188324
2700,77.0,0.148225008,189024
2710,77.0,0.148769098,189730
2720,78.0,0.149290944,190435
2730,77.0,0.149973975,191152
2740,78.0,0.150497644,191842
2750,78.0,0.151053769,192533
2760,77.0,0.151551546,193235
2770,77.0,0.152017961,193941
2780,74.0,0.152482918,194635
2790,75.0,0.152927089,195320
2800,74.0,0.153373448,196008
2810,74.0,0.15383184,196702
2820,74.0,0.154374472,197393
2830,74.0,0.154900694,198093
2840,75.0,0.155425458,198793
2850,75.0,0.156036649,199495
2860,75.0,0.156490301,200190
2870,74.0,0.156947236,200881
2880,74.0,0.157408547,201586
2890,75.0,0.157887361,202292
2900,75.0,0.15836107,202998
2910,75.0,0.158863953,203693
2920,78.0,0.159331098,204384
2930,75.0,0.159831428,205075
2940,75.0,0.160308784,205775
2950,75.0,0.160828442,206478
2960,78.0,0.16150892,207192
2970,77.0,0.161988464,207895
2980,76.0,0.162480406,208601
2990,80.0,0.163018662,209285
3000,77.0,0.163539414,209970
3010,74.0,0.164066365,210667
3020,78.0,0.164573624,211383
3030,74.0,0.165082707,212086
3040,75.0,0.165581214,212803
3050,74.0,0.166085191,213497
3060,75.0,0.166742695,214192
3070,74.0,0.167256518,214886
3080,74.0,0.167739344,215588
3090,75.0,0.16819956,216282
3100,75.0,0.168670352,216983
3110,75.0,0.169199491,217681
3120,75.0,0.169681223,218382
3130,74.0,0.170198328,219083
3140,75.0,0.170817177,219787
3150,73.0,0.171318237,220481
3160,75.0,0.171865245,221174
3170,75.0,0.172383079,221881
3180,78.0,0.172956343,222580
3190,75.0,0.173473813,223267
3200,75.0,0.173967215,223962
3210,74.0,0.1744453,224643
3220,73.0,0.174964593,225344
3230,73.0,0.175516707,226040
3240,73.0,0.176455738,226716
3250,73.0,0.177161743,227412
3260,76.0,0.177802472,228120
3270,76.0,0.17833781,228820
3280,73.0,0.179208283,229515
3290,72.0,0.180009467,230199
3300,70.0,0.180767256,230895
3310,71.0,0.181526504,231587
3320,72.0,0.182274811,232268
3330,72.0,0.182879073,232949
3340,75.0,0.183624828,233657
3350,76.0,0.184292543,234348
3360,75.0,0.185078411,235050
3370,79.0,0.185823436,235731
3380,76.0,0.186608575,236426
3390,75.0,0.187436381,237128
3400,75.0,0.188297372,237834
3410,75.0,0.18909491,238529
3420,75.0,0.189846135,239226
3430,76.0,0.190683057,239927
3440,79.0,0.191630475,240625
3450,79.0,0.192557836,241324
3460,81.0,0.193465505,242024
3470,81.0,0.194207613,242712
3480,83.0,0.194869129,243417
3490,81.0,0.195589356,244104
3500,81.0,0.19643576,244803
3510,79.0,0.19719683,245506
3520,81.0,0.197995826,246208
3530,80.0,0.198881615,246920
3540,80.0,0.199636851,247615
3550,80.0,0.200374948,248312
3560,80.0,0.201047768,249026
3570,80.0,0.201745021,249724
3580,80.0,0.20230771,250417
3590,80.0,0.203171254,251116
3600,80.0,0.20398192,251801
3610,82.0,0.204846558,252492
3620,82.0,0.205598512,253199
3630,80.0,0.206358488,253888
3640,85.0,0.207117735,254576
3650,86.0,0.20774096,255274
3660,86.0,0.208749279,255962
3670,85.0,0.20953697,256647
3680,84.0,0.210288195,257346
3690,80.0,0.210973414,258041
3700,80.0,0.211793562,258744
3710,80.0,0.212477322,259437
3720,85.0,0.213063715,260154
3730,80.0,0.213634062,260844
3740,81.0,0.214328033,261537
3750,82.0,0.214952717,262237
3760,82.0,0.215480762,262930
3770,82.0,0.216196613,263619
3780,82.0,0.216878185,264325
3790,82.0,0.217629045,265025
3800,82.0,0.218173865,265728
3810,81.0,0.2187526,266430
3820,81.0,0.219535186,267131
3830,82.0,0.220077089,267825
3840,81.0,0.220610604,268513
3850,81.0,0.221175117,269206
3860,82.0,0.221700245,269902
3870,82.0,0.222180883,270604
3880,83.0,0.222714398,271304
3890,80.0,0.223301885,271999
3900,81.0,0.223784711,272694
3910,80.0,0.224347764,273404
3920,80.0,0.22505924,274109
3930,83.0,0.225870271,274805
3940,83.0,0.226445724,275493
3950,83.0,0.227115991,276198
3960,83.0,0.227668469,276895
3970,84.0,0.228242463,277579
3980,84.0,0.228797858,278273
3990,89.0,0.229320433,278963
4000,89.0,0.229885675,279656
4010,90.0,0.230483008,280344
4020,90.0,0.23105372,281036
4030,90.0,0.231586871,281727
4040,90.0,0.232192591,282433
4050,90.0,0.232738506,283137
4060,91.0,0.233310677,283836
4070,91.0,0.23401413,284529
4080,93.0,0.235197127,285236
4090,92.0,0.235807223,285931
4100,92.0,0.23630573,286646
4110,90.0,0.236819918,287346
4120,89.0,0.237350516,288036
4130,88.0,0.237824955,288743
4140,88.0,0.238308511,289431
4150,89.0,0.23886026,290139
4160,89.0,0.239373719,290830
4170,88.0,0.239901399,291521
4180,88.0,0.240413764,292207
4190,89.0,0.241059598,292890
4200,89.0,0.241590925,293588
4210,89.0,0.242094538,294282
4220,89.0,0.242622948,294965
4230,89.0,0.243188554,295665
4240,89.0,0.243696543,296372
4250,89.0,0.244200884,297059
4260,93.0,0.244715437,297761
4270,94.0,0.245252599,298455
4280,90.0,0.24575767,299163
4290,94.0,0.246246696,299880
4300,90.0,0.246784588,300575
4310,90.0,0.247301693,301273
4320,89.0,0.247872405,301967
4330,90.0,0.248576952,302659
4340,90.0,0.249071813,303354
4350,90.0,0.24959767,304066
4360,89.0,0.25008706,304755
4370,88.0,0.250562957,305455
4380,88.0,0.251097567,306162
4390,88.0,0.252511766,306864
4400,88.0,0.253058774,307580
4410,88.0,0.253623286,308288
4420,88.0,0.254133098,308978
4430,88.0,0.254658591,309669
4440,88.0,0.25521107,310363
4450,88.0,0.255871856,311067
4460,89.0,0.256410841,311771
4470,89.0,0.257031513,312465
4480,84.0,0.260363523,313162
4490,85.0,0.260983101,313860
4500,88.0,0.261651545,314564
4510,87.0,0.262311602,315265
4520,86.0,0.263036206,315962
4530,87.0,0.263627704,316662
4540,87.0,0.264194405,317340
4550,89.0,0.264748342,318039
4560,88.0,0.265294621,318728
4570,88.0,0.265917481,319417
4580,87.0,0.266469959,320096
4590,87.0,0.266968466,320789
4600,87.0,0.267558141,321493
4610,87.0,0.268077799,322182
4620,87.0,0.268598915,322879
4630,87.0,0.269212294,323581
4640,87.0,0.26972247,324283
4650,88.0,0.270288442,324986
4660,89.0,0.271001741,325668
4670,88.0,0.271794903,326360
4680,89.0,0.272357592,327052
4690,89.0,0.272868133,327759
4700,89.0,0.273476406,328450
4710,89.0,0.273978925,329148
4720,89.0,0.274522651,329846
4730,90.0,0.275087893,330537
4740,90.0,0.2756411,331218
4750,90.0,0.276216917,331928
4760,90.0,0.276901042,332628
4770,89.0,0.277625646,333323
4780,91.0,0.278338945,334019
4790,89.0,0.278866626,334732
4800,90.0,0.2794016,335428
4810,91.0,0.280154283,336128
4820,91.0,0.281608231,336825
4830,90.0,0.282163991,337509
4840,90.0,0.282802532,338210
4850,90.0,0.283318178,338930
4860,89.0,0.283869562,339626
4870,91.0,0.284451579,340332
4880,89.0,0.285002963,341030
4890,89.0,0.285521527,341721
4900,90.0,0.286024775,342425
4910,89.0,0.28666514,343128
4920,89.0,0.287159636,343818
4930,92.0,0.287656684,344515
4940,89.0,0.288138051,345218
4950,89.0,0.288676307,345919
4960,94.0,0.289144546,346632
4970,94.0,0.28968025,347331
4980,96.0,0.290290347,348030
4990,96.0,0.290843919,348723
5000,93.0,0.291473708,349415
