iterations,fitness,time,fevals
0,24.0,0.072107356,1000
10,26.0,0.138212208,2100
20,31.0,0.199450511,3200
30,33.0,0.260185566,4300
40,33.0,0.322151754,5400
50,33.0,0.381469693,6500
60,31.0,0.441435654,7600
70,38.0,0.499514437,8700
80,37.0,0.558894006,9800
90,41.0,0.616330602,10900
100,43.0,0.675507048,12000
110,56.0,0.734006663,13100
120,49.0,0.789092581,14200
130,47.0,0.845186088,15300
140,43.0,0.899987927,16400
150,45.0,0.959180418,17500
160,42.0,1.013424673,18600
170,44.0,1.068080278,19700
180,44.0,1.122586368,20800
190,46.0,1.179319146,21900
200,47.0,1.237500767,23000
210,45.0,1.293919927,24100
220,46.0,1.350373366,25200
230,42.0,1.408151294,26300
240,43.0,1.463589121,27400
250,41.0,1.520814936,28500
260,43.0,1.577855862,29600
270,43.0,1.632936675,30700
280,46.0,1.68866697,31800
290,45.0,1.744244102,32900
300,46.0,1.803626953,34000
310,48.0,1.856454821,35100
320,45.0,1.914104385,36200
330,50.0,1.969766486,37300
340,49.0,2.023543596,38400
350,52.0,2.078578096,39500
360,51.0,2.132915707,40600
370,52.0,2.190124383,41700
380,51.0,2.24354922,42800
390,50.0,2.29871719,43900
400,46.0,2.352859701,45000
410,50.0,2.410887794,46100
420,49.0,2.466471125,47200
430,46.0,2.520702252,48300
440,49.0,2.574941766,49400
450,49.0,2.631921063,50500
460,49.0,2.685270048,51600
470,43.0,2.738269677,52700
480,46.0,2.792295858,53800
490,48.0,2.848940386,54900
500,48.0,2.906310976,56000
510,48.0,2.962333737,57100
520,48.0,3.016339132,58200
530,48.0,3.07094186,59300
540,46.0,3.127385818,60400
550,47.0,3.180502507,61500
560,52.0,3.233740997,62600
570,52.0,3.285239271,63700
580,47.0,3.339281133,64800
590,50.0,3.393406505,65900
600,48.0,3.445969622,67000
610,49.0,3.498412762,68100
620,50.0,3.55326055,69200
630,53.0,3.609914924,70300
640,50.0,3.662943727,71400
650,53.0,3.714878148,72500
660,52.0,3.766527031,73600
670,52.0,3.819989794,74700
680,53.0,3.873263657,75800
690,51.0,3.925240016,76900
700,52.0,3.977198142,78000
710,53.0,4.031157588,79100
720,52.0,4.086513729,80200
730,48.0,4.138790213,81300
740,52.0,4.190905512,82400
750,52.0,4.244955032,83500
760,48.0,4.297266525,84600
770,50.0,4.351417059,85700
780,48.0,4.403820084,86800
790,51.0,4.456054996,87900
800,49.0,4.506883368,89000
810,50.0,4.559461801,90100
820,49.0,4.612792553,91200
830,52.0,4.665323214,92300
840,49.0,4.719659366,93400
850,49.0,4.774221615,94500
860,50.0,4.831672068,95600
