iterations,fitness,time,fevals
0,6.0,1.5681e-05,11
10,8.0,3.46440000001e-05,21
20,8.0,4.44909999999e-05,31
30,8.0,5.43369999999e-05,41
40,8.0,6.34529999999e-05,51
50,8.0,7.32989999999e-05,61
60,8.0,8.31449999998e-05,71
70,9.0,9.33559999998e-05,81
80,9.0,0.000103932,91
90,9.0,0.000113414,101
100,9.0,0.000122531,111
110,9.0,0.000131648,121
120,9.0,0.000141859,131
130,9.0,0.000153528,141
140,9.0,0.00016301,151
150,9.0,0.000179421,161
160,9.0,0.000189997,171
170,9.0,0.000206408,181
180,9.0,0.000229018,191
190,9.0,0.000240322,201
200,9.0,0.000251627,211
210,9.0,0.000261108,221
220,9.0,0.000270225,231
230,9.0,0.000279342,241
240,9.0,0.000288094,251
250,9.0,0.00029794,261
260,9.0,0.000308151,271
270,9.0,0.000317633,281
280,11.0,0.00032675,291
290,11.0,0.000336596,301
300,11.0,0.000355559,311
310,11.0,0.000366135,321
320,11.0,0.000376346,331
330,12.0,0.000387286,341
340,12.0,0.000398226,351
350,12.0,0.000414272,361
360,12.0,0.000423753,371
370,12.0,0.000433235,381
380,12.0,0.000458033,391
390,12.0,0.000480643,401
400,12.0,0.000513828,411
410,12.0,0.000527685,421
420,12.0,0.000538261,431
430,12.0,0.000549566,441
440,12.0,0.000563058,451
450,12.0,0.000575093,461
460,12.0,0.000591868,471
470,12.0,0.000642193,481
480,12.0,0.000732996,491
490,12.0,0.000747948,501
500,16.0,0.000759253,511
510,16.0,0.000776028,521
520,16.0,0.00078952,531
530,16.0,0.000804837,541
540,16.0,0.00083,551
550,16.0,0.000843857,561
560,16.0,0.000856986,571
570,16.0,0.000892724,581
580,16.0,0.000903664,591
590,16.0,0.000920439,601
600,16.0,0.000931743,611
610,16.0,0.000942319,621
620,16.0,0.000953624,631
630,16.0,0.000966387,641
640,16.0,0.000991185,651
650,16.0,0.001006501,661
660,16.0,0.0010189,671
670,16.0,0.001032028,681
680,16.0,0.001043697,691
690,16.0,0.001055001,701
700,16.0,0.001065212,711
710,16.0,0.001075058,721
720,16.0,0.001085633,731
730,16.0,0.00111116,741
740,16.0,0.001135958,751
750,16.0,0.001148357,761
760,19.0,0.001160027,771
770,19.0,0.001172791,781
780,19.0,0.001184825,791
790,19.0,0.00119686,801
