iterations,fitness,time,fevals
0,535.0,0.002656999,563
10,533.0,0.004675458,1025
20,536.0,0.006855102,1476
30,538.0,0.00840751,1942
40,544.0,0.00982790700001,2398
50,547.0,0.011306286,2861
60,549.0,0.013024985,3312
70,542.0,0.014722897,3761
80,548.0,0.016304843,4229
90,544.0,0.017752226,4676
100,550.0,0.019202526,5125
110,548.0,0.020600678,5578
120,550.0,0.022011958,6030
130,548.0,0.024458906,6492
140,550.0,0.028574958,6950
150,554.0,0.029938466,7391
160,554.0,0.031214088,7854
170,556.0,0.032550246,8313
180,556.0,0.033868535,8759
190,558.0,0.03552451,9214
200,554.0,0.037025864,9673
210,556.0,0.03910267,10138
220,554.0,0.041086121,10598
230,560.0,0.042428843,11056
240,552.0,0.043765001,11511
250,556.0,0.045071256,11961
260,546.0,0.046780473,12430
270,550.0,0.04830152,12874
280,554.0,0.049640595,13334
290,552.0,0.051003009,13792
300,552.0,0.052330414,14263
310,554.0,0.053677512,14722
320,558.0,0.055016588,15175
330,558.0,0.056352381,15634
340,560.0,0.059103831,16087
350,558.0,0.060512559,16556
360,572.0,0.063694686,17004
370,560.0,0.065170149,17457
380,564.0,0.066700677,17919
390,560.0,0.06820349,18371
400,566.0,0.071361549,18827
410,562.0,0.073157559,19277
420,562.0,0.074673135,19738
430,562.0,0.076224814,20199
440,570.0,0.077715228,20648
450,568.0,0.079115204,21097
460,566.0,0.081028637,21556
470,568.0,0.082393969,21994
480,566.0,0.083745078,22454
490,564.0,0.085098011,22916
500,566.0,0.08643818,23377
510,566.0,0.08776668,23832
520,568.0,0.089083875,24294
530,570.0,0.091088476,24746
540,570.0,0.092543153,25200
550,572.0,0.09391359,25645
560,576.0,0.095251207,26090
570,570.0,0.09812701,26559
580,572.0,0.099443111,27005
590,562.0,0.10123365,27472
600,564.0,0.103135049,27916
610,566.0,0.104492723,28374
620,558.0,0.105767251,28825
630,566.0,0.107096844,29277
640,568.0,0.10845087,29745
650,572.0,0.10979505,30215
660,576.0,0.111674205,30679
670,574.0,0.113706156,31137
680,574.0,0.1150022,31584
690,575.0,0.116331064,32046
700,576.0,0.117690926,32512
710,572.0,0.11903146,32972
720,572.0,0.120388039,33426
730,572.0,0.122387171,33884
740,568.0,0.123741198,34335
750,570.0,0.125873799,34805
760,562.0,0.127240589,35253
770,567.0,0.128636917,35708
780,568.0,0.132756615,36164
790,566.0,0.134198163,36610
800,569.0,0.135703894,37069
810,570.0,0.13745833,37520
820,573.0,0.138798135,37974
830,568.0,0.140156538,38411
840,570.0,0.141501813,38877
850,570.0,0.143303292,39343
860,568.0,0.144942857,39784
870,572.0,0.146464633,40243
880,572.0,0.147853668,40712
890,576.0,0.149225199,41165
900,574.0,0.150575579,41625
910,586.0,0.151950757,42081
920,586.0,0.153901752,42541
930,588.0,0.155489169,43012
940,586.0,0.157225007,43469
950,586.0,0.159818554,43926
960,586.0,0.161314803,44395
