iterations,fitness,time,fevals
0,551.0,9.746365589,1000
10,569.0,19.048444474,2100
20,618.0,28.083402652,3200
30,649.0,37.820228424,4300
40,665.0,46.290072429,5400
50,701.0,55.028546882,6500
60,723.0,62.658029292,7600
70,745.0,69.985560817,8700
80,763.0,77.456064877,9800
90,770.0,84.438233515,10900
100,775.0,92.312618633,12000
110,773.0,99.793179615,13100
120,783.0,107.217131119,14200
130,781.0,114.48266915,15300
140,779.0,121.628825636,16400
150,787.0,128.766292355,17500
160,781.0,135.999696228,18600
170,787.0,143.297873853,19700
180,781.0,150.403691792,20800
190,791.0,158.063389822,21900
200,783.0,164.749947031,23000
210,787.0,172.207044294,24100
220,787.0,179.678574177,25200
230,789.0,186.551443354,26300
240,783.0,193.061958486,27400
250,785.0,199.536944364,28500
260,789.0,206.032014547,29600
270,783.0,212.599402814,30700
280,787.0,219.082664921,31800
290,781.0,225.562193152,32900
300,789.0,232.115113426,34000
310,789.0,238.673478616,35100
320,787.0,245.192122649,36200
330,791.0,251.665441977,37300
340,789.0,258.135081036,38400
350,797.0,264.609031975,39500
360,795.0,271.033807638,40600
370,793.0,277.548472737,41700
380,791.0,284.065995405,42800
390,793.0,290.557034504,43900
400,799.0,296.973944194,45000
410,795.0,303.592284054,46100
420,797.0,310.088235285,47200
430,797.0,316.523770957,48300
440,799.0,322.994459541,49400
450,797.0,329.592512704,50500
460,803.0,336.443574136,51600
470,797.0,343.358916649,52700
480,799.0,349.697742792,53800
490,803.0,356.493907611,54900
500,799.0,363.937586407,56000
510,795.0,370.764685978,57100
520,801.0,377.55637919,58200
530,803.0,384.516532221,59300
540,789.0,392.087406387,60400
550,797.0,398.210677888,61500
560,803.0,404.548055554,62600
570,799.0,410.417934057,63700
580,799.0,416.295002431,64800
590,793.0,422.204890911,65900
600,793.0,428.631123074,67000
610,797.0,435.542665705,68100
620,795.0,441.961941022,69200
630,791.0,448.099794658,70300
640,795.0,454.38705036,71400
650,803.0,461.116274181,72500
660,801.0,467.350947842,73600
670,791.0,473.660689577,74700
680,801.0,480.043601271,75800
690,799.0,486.82448342,76900
700,801.0,493.673197459,78000
710,805.0,500.336136328,79100
720,801.0,507.115206787,80200
730,803.0,514.182450462,81300
740,799.0,520.315410201,82400
750,807.0,526.572640277,83500
760,797.0,532.805426396,84600
770,805.0,539.2856847,85700
780,803.0,545.587625739,86800
790,799.0,551.945382365,87900
800,797.0,558.401309396,89000
810,795.0,564.503236651,90100
820,801.0,570.677696782,91200
830,799.0,577.026467163,92300
840,803.0,582.979392397,93400
850,801.0,589.147254884,94500
860,795.0,595.475249177,95600
870,797.0,601.890826356,96700
880,797.0,608.156802723,97800
890,801.0,613.891192486,98900
900,809.0,620.005806675,100000
910,797.0,625.896868238,101100
920,799.0,632.022978709,102200
930,799.0,638.506326879,103300
940,799.0,644.712570354,104400
950,799.0,650.754773833,105500
960,805.0,656.547913334,106600
970,807.0,662.37524119,107700
980,807.0,668.171030761,108800
990,805.0,673.923169835,109900
1000,803.0,679.711734526,111000
1010,801.0,685.747009603,112100
1020,799.0,691.531497627,113200
1030,801.0,697.283418627,114300
1040,805.0,703.034033737,115400
1050,807.0,708.991234019,116500
1060,803.0,715.061092027,117600
1070,799.0,721.100349686,118700
1080,807.0,727.195859444,119800
1090,805.0,734.227857579,120900
1100,807.0,741.868002631,122000
1110,807.0,749.441347814,123100
1120,795.0,756.448872818,124200
1130,801.0,763.216858345,125300
1140,805.0,770.143482712,126400
1150,807.0,777.111484577,127500
1160,801.0,783.948064159,128600
1170,811.0,790.643450075,129700
1180,799.0,797.295060047,130800
1190,813.0,804.582786905,131900
1200,805.0,812.032964883,133000
1210,805.0,819.059591037,134100
1220,809.0,826.432911495,135200
1230,809.0,832.816335553,136300
1240,803.0,839.099995589,137400
1250,809.0,845.413298346,138500
1260,807.0,851.918097975,139600
1270,809.0,858.172940544,140700
1280,809.0,864.592238106,141800
1290,809.0,871.041679446,142900
1300,811.0,877.575319152,144000
1310,805.0,883.983173309,145100
1320,803.0,890.540635572,146200
1330,809.0,896.736709077,147300
1340,801.0,903.237623857,148400
1350,811.0,909.4751405,149500
1360,807.0,915.787081207,150600
1370,805.0,922.303240001,151700
1380,805.0,928.849996955,152800
1390,807.0,935.787209935,153900
1400,809.0,942.169623122,155000
1410,813.0,948.570684901,156100
1420,809.0,954.873258646,157200
1430,805.0,961.261238914,158300
1440,811.0,967.615228114,159400
1450,807.0,973.932029169,160500
1460,809.0,980.410747464,161600
1470,809.0,986.845663193,162700
1480,807.0,993.549097053,163800
1490,809.0,999.861824722,164900
1500,807.0,1006.31295158,166000
1510,807.0,1012.66314308,167100
1520,805.0,1019.11272264,168200
1530,809.0,1025.43965792,169300
1540,807.0,1031.88502296,170400
1550,807.0,1038.33749436,171500
1560,811.0,1045.26257945,172600
1570,809.0,1051.92277307,173700
1580,807.0,1058.11182627,174800
1590,809.0,1064.36178552,175900
1600,805.0,1070.63011293,177000
1610,807.0,1077.22643681,178100
1620,817.0,1084.47111051,179200
1630,811.0,1091.18255038,180300
1640,813.0,1097.80246854,181400
1650,813.0,1104.43180763,182500
1660,813.0,1111.02060469,183600
1670,807.0,1117.65568773,184700
1680,805.0,1124.24048544,185800
1690,813.0,1130.88859966,186900
1700,813.0,1137.52517202,188000
1710,801.0,1144.28467528,189100
1720,813.0,1150.50112447,190200
1730,809.0,1156.60262724,191300
1740,815.0,1162.70501508,192400
1750,817.0,1168.8873069,193500
1760,810.0,1175.30800699,194600
1770,813.0,1181.6716786,195700
1780,809.0,1187.87364192,196800
1790,815.0,1194.13061709,197900
1800,813.0,1200.30620515,199000
1810,815.0,1206.42312808,200100
1820,815.0,1212.9259304,201200
1830,817.0,1219.37463692,202300
1840,813.0,1226.30462429,203400
1850,809.0,1233.95673022,204500
1860,811.0,1240.5023545,205600
1870,811.0,1246.66037377,206700
1880,809.0,1252.75146808,207800
1890,811.0,1258.96117776,208900
1900,815.0,1265.84942734,210000
1910,807.0,1272.7090633,211100
1920,807.0,1279.45576183,212200
1930,811.0,1286.04915084,213300
1940,805.0,1292.66393625,214400
1950,810.0,1299.22232186,215500
1960,807.0,1305.85863931,216600
1970,809.0,1312.49404546,217700
