iterations,fitness,time,fevals
0,493.0,6.67349999999e-05,11
10,497.0,0.00011633,21
20,497.0,0.000159361,31
30,501.0,0.000202757,41
40,497.0,0.000246518000001,51
50,499.0,0.000285902000001,61
60,507.0,0.000329298000001,71
70,499.0,0.000371235000001,81
80,501.0,0.000417913000001,91
90,503.0,0.000461309000002,101
100,505.0,0.000513093000002,111
110,509.0,0.000559771000002,121
120,509.0,0.000600979000001,131
130,513.0,0.000678654000001,141
140,513.0,0.000719862000001,151
150,517.0,0.000762893000002,161
160,519.0,0.000799725000002,171
170,519.0,0.000830722000002,181
180,521.0,0.000909126000002,191
190,523.0,0.000951064000001,201
200,523.0,0.000984979000001,211
210,527.0,0.001014882,221
220,527.0,0.001059737,231
230,527.0,0.001103863,241
240,527.0,0.001146165,251
250,529.0,0.001184455,261
260,529.0,0.001542198,271
270,531.0,0.001581947,281
280,535.0,0.001613309,291
290,537.0,0.001652694,301
300,537.0,0.001694267,311
310,537.0,0.00174058,321
320,541.0,0.001775588,331
330,545.0,0.001811325,341
340,549.0,0.001863837,351
350,553.0,0.001912339,361
360,555.0,0.001968863,371
370,557.0,0.002012624,381
380,559.0,0.002058208,391
390,561.0,0.002100145,401
400,563.0,0.002137342,411
410,565.0,0.002188396,421
420,565.0,0.002277741,431
430,565.0,0.002314573,441
440,567.0,0.00238933,451
450,567.0,0.002432726,461
460,569.0,0.002480498,471
470,571.0,0.002541033,481
480,573.0,0.002577135,491
490,575.0,0.002620895,501
500,575.0,0.002661374,511
510,577.0,0.002702217,521
520,577.0,0.002744519,531
530,577.0,0.002777704,541
540,579.0,0.002818548,551
550,581.0,0.00285538,561
560,581.0,0.0028944,571
570,583.0,0.002942901,581
580,589.0,0.002980462,591
590,589.0,0.003019118,601
600,589.0,0.003051573,611
610,589.0,0.003113932,621
620,591.0,0.003286057,631
630,593.0,0.00332763,641
640,595.0,0.003367744,651
650,597.0,0.00341114,661
660,599.0,0.003450524,671
670,603.0,0.0035158,681
680,605.0,0.003546068,691
690,607.0,0.003581077,701
700,609.0,0.003617544,711
710,613.0,0.003659117,721
720,615.0,0.003730592,731
730,615.0,0.003770706,741
740,619.0,0.003808267,751
750,619.0,0.00384364,761
760,621.0,0.003880837,771
770,625.0,0.003920951,781
780,631.0,0.003961794,791
790,635.0,0.004004096,801
800,641.0,0.004045668,811
810,643.0,0.004095628,821
820,645.0,0.00417075,831
830,645.0,0.00420904,841
840,647.0,0.004273952,851
850,647.0,0.004324642,861
860,647.0,0.004488015,871
870,647.0,0.004574442,881
880,647.0,0.004625861,891
890,647.0,0.004668163,901
900,649.0,0.004707913,911
910,651.0,0.00474985,921
920,653.0,0.00478814,931
930,653.0,0.004829712,941
940,653.0,0.004871649,951
950,653.0,0.004911033,961
960,653.0,0.004949688,971
970,653.0,0.004987978,981
980,653.0,0.005022987,991
990,653.0,0.005059454,1001
1000,653.0,0.005106496,1011
1010,653.0,0.005153903,1021
1020,655.0,0.005189641,1031
1030,655.0,0.005222097,1041
1040,655.0,0.005246895,1051
1050,655.0,0.005274975,1061
1060,655.0,0.005305608,1071
1070,655.0,0.005335876,1081
1080,655.0,0.005371613,1091
1090,655.0,0.005404069,1101
1100,655.0,0.005439442,1111
1110,657.0,0.005473357,1121
1120,657.0,0.005509459,1131
1130,657.0,0.005541551,1141
1140,657.0,0.005574372,1151
1150,657.0,0.005645483,1161
1160,659.0,0.005685961,1171
1170,661.0,0.005718052,1181
1180,661.0,0.00574905,1191
1190,661.0,0.005777859,1201
1200,663.0,0.005807033,1211
1210,663.0,0.005842041,1221
1220,663.0,0.005879237,1231
1230,663.0,0.005973323,1241
1240,665.0,0.006006508,1251
1250,667.0,0.00605975,1261
1260,669.0,0.006097311,1271
1270,669.0,0.00612612,1281
1280,671.0,0.006156023,1291
1290,671.0,0.006191032,1301
1300,671.0,0.006221665,1311
1310,673.0,0.00625594399999,1321
1320,675.0,0.006289493,1331
1330,677.0,0.006321584,1341
1340,677.0,0.006355499,1351
1350,677.0,0.006392695,1361
1360,679.0,0.00642806899999,1371
1370,683.0,0.00649334599999,1381
1380,685.0,0.00653236599999,1391
1390,685.0,0.006567375,1401
1400,685.0,0.006602384,1411
1410,685.0,0.00663556999999,1421
1420,685.0,0.006671308,1431
1430,685.0,0.006705223,1441
1440,685.0,0.006736221,1451
1450,685.0,0.006771594,1461
1460,685.0,0.006828848,1471
1470,687.0,0.006862763,1481
1480,687.0,0.006898866,1491
1490,687.0,0.006938251,1501
