,Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
0,0,76.2223150857,27.5804429586,50.7730881738,32.9189302131,25.1358127873,32.1145006268,26.274550773099996,26.0865022984,76.2223150857,44.2958629336,71.4897618053,76.23318385649999,28.290115032200003,51.7839734841,32.9498927666,25.1511015793,31.7995710665,26.0284655878,25.7555078963,76.23318385649999,45.4669526223,70.4230844219,0.7286590490000001,0.279730259,0.298503636,0.20021143800000002,0.240053082,0.239353638,0.24209306300099998,6.69241311,5.297067199,4.584103368,4.243127386
1,10,84.0054325115,28.0819055579,51.755119097400005,32.8771416632,24.853740075199998,32.0518178019,26.253656498100003,75.7104053489,57.09360635189999,70.49728374429999,76.1700793982,81.9263014233,28.953012283099998,52.5443556249,33.0668746344,24.8391499318,32.209007603799996,25.989471631900003,75.7847533632,57.301618249200004,71.1444726067,75.9797231429,8.344574993,2.66396602,2.92941239,2.112429851,2.674397131,2.581249011,2.939665906,73.119257193,61.868680553999994,57.826537611999996,45.942356614
2,20,85.8232344338,28.113246970299997,57.3234433765,33.5770998746,24.7597158379,31.842875052199997,26.1073965733,71.61512745510001,76.2014208107,76.2223150857,74.979105725,80.79547670110001,29.031000195,57.5160850068,33.2618444141,24.66367713,31.8385650224,25.7555078963,70.8715149152,76.1746929226,76.23318385649999,74.7904074868,16.425482126,5.016498547,5.649643475,4.281431095,5.44425988,5.268850594,5.576573535,141.25003655700002,118.207767437,113.666790534,84.091653817
3,30,88.4036773924,28.322189719999997,57.9502716256,33.4517342248,24.7283744254,32.2816548266,26.013372336,70.01671542,76.21186794820001,76.2223150857,76.18052653569998,81.8483135114,29.1674790407,58.178982257799994,33.3788262819,24.566192240200003,32.2480015598,25.638526028499996,70.34509651,76.23318385649999,76.23318385649999,76.1356989667,23.681910493,7.365907282999999,8.262129303,6.4679804160000005,8.19041121,8.001137413,8.226706406,207.839293105,183.218594546,170.235928861,126.428995386
4,40,89.87672377770001,28.9072294191,59.4233180109,34.527789385700004,24.5925616381,32.3443376515,26.034266610899998,76.2223150857,76.2223150857,76.2223150857,73.55829502719999,81.7313316436,29.654903490000002,59.3098069799,33.846753753200005,24.449210372400003,32.111522714,25.5800350946,76.23318385649999,76.23318385649999,76.23318385649999,73.464612985,31.003235015,9.798442555,11.980285765,8.66894381,10.944411035999998,10.749402755,10.903327314,274.397804895,246.046760781,224.800614546,164.893849728
5,50,90.96322607610001,28.886335144199997,59.9247806101,35.656080234,24.226911826200002,26.755119097399998,26.1178437108,75.9820309235,76.00292519850001,73.8717091517,76.21186794820001,81.80931955550001,29.674400467900004,59.7192435173,34.431663092200004,24.273737570700003,27.237278221900002,25.8724897641,75.9992201209,75.9797231429,74.5954377072,76.1746929226,38.307461104,12.139176444,15.507386274000002,10.804786412,13.815986617,13.403140053,13.535147389,343.632124459,310.607354482,281.377787326,203.049443
6,60,91.61094860009999,29.178854993700003,60.50982030919999,35.9277058086,24.2895946511,26.9954032595,26.4208106979,75.020894275,76.0342666109,75.7730881738,74.98955286249999,81.71183466560001,29.9278611815,60.4211347241,34.8605966075,24.2347436147,27.3542600897,26.164944433600002,75.1803470462,76.0382140768,75.7457594073,75.0438682004,45.61222399,14.533804299000002,18.589847644000002,12.971649942,16.562504805,16.076442799000002,16.179605577,412.946637197,374.76696772800005,339.031395702,247.148652464
7,70,92.0706226494,29.669870455499996,60.791893021300005,37.014208107,24.226911826200002,27.486418721299998,26.5461763477,76.19097367319999,76.2223150857,76.0865022984,72.994149603,81.8288165334,30.317800740899997,60.616104503799995,35.776954571999994,24.1567557029,27.861181516899997,26.1259504777,76.23318385649999,76.23318385649999,76.0772080328,73.7765646325,52.905480342,16.928053254,21.39570364,15.139355137,19.316074317,18.780042599,18.85801849,480.56812271900003,438.218294425,393.676059769,292.491486727
8,80,92.51984956119999,29.8161303803,60.990388633500004,37.4111993314,24.2478061011,27.434183033799997,26.755119097399998,76.19097367319999,75.8775595487,76.1700793982,76.7969076473,81.9263014233,30.4347826087,60.7915773055,36.0304152856,24.215246636799996,27.900175472800004,26.457399103100006,76.2136868785,75.76525638529999,76.1746929226,76.8180931956,60.238952858000005,19.323353928,24.114471291999998,17.290280623,22.05689777,21.415532377999998,21.567367361,547.567536327,499.463848071,448.49103181,335.336924749
9,90,92.7914751358,30.672795654,61.1888842457,37.8290848308,24.310488925999998,27.6117843711,26.295445048099996,75.971583786,76.2014208107,76.19097367319999,75.020894275,81.9068044453,31.273152661300003,60.8305712615,36.517839734800006,24.3322285046,28.0366543186,26.164944433600002,76.1356989667,76.23318385649999,76.2136868785,74.96588028859999,67.577668282,21.803188045,26.769814610999997,19.473504487,24.842438186,24.006345678000002,24.219242276,613.276376447,564.9915841019999,504.183604646,380.91115452400004
