iterations,fitness,time,fevals
0,0.0229035483928,8.75200021255e-06,11
10,0.0239696369213,1.78690006578e-05,21
20,0.024829296733,3.28210007865e-05,31
30,0.0250190533898,7.98630007921e-05,41
40,0.0256270176435,0.000112684001579,51
50,0.0263665040633,0.000123260000692,61
60,0.0266426087395,0.000132376000693,71
70,0.0271109237671,0.000141492000694,81
80,0.0277200408897,0.000150244000906,91
90,0.0286763499712,0.000159361001351,101
100,0.0290393166155,0.000168114002008,111
110,0.0290421148085,0.000196559001779,121
120,0.0296803775004,0.000212240001929,131
130,0.0300628268825,0.000227921002079,141
140,0.0306109821628,0.000242873002207,151
150,0.0311933256404,0.00025891900259,161
160,0.0311933256404,0.00027022300128,171
170,0.0312805098379,0.000286633001451,181
180,0.0317479427761,0.000303044002067,191
190,0.0319858751773,0.000313619002554,201
200,0.0320859081333,0.000357745002475,211
210,0.0321644464084,0.000389107002775,221
220,0.032287096294,0.000421927003117,231
230,0.032287096294,0.000452194004538,241
240,0.0326015227799,0.000461311004983,251
250,0.0334608985446,0.000489756004754,261
260,0.0336020840024,0.000517836004292,271
270,0.0336020840024,0.00054591600383,281
280,0.0337573630399,0.000569620002352,291
290,0.0337573630399,0.000592230002439,301
300,0.0337573630399,0.000614839002083,311
310,0.0342411755804,0.000637084001937,321
320,0.0342411755804,0.00064583600215,331
330,0.0342411755804,0.000654224002574,341
340,0.0349749938289,0.000662976000967,351
350,0.0349749938289,0.00067172800118,361
360,0.035045557809,0.000680479999573,371
370,0.035045557809,0.000688866999553,381
380,0.0351624533452,0.000712205999662,391
390,0.0351624533452,0.000720594000086,401
400,0.0355329736839,0.000729346000298,411
410,0.0357819136005,0.000738098000511,421
420,0.0370758540954,0.000746850000723,431
430,0.0378271490822,0.000755602000936,441
440,0.0378271490822,0.000764354001149,451
450,0.0381790463762,0.000780399001087,461
460,0.0387761064989,0.000813583999843,471
470,0.0387761064989,0.000824888998977,481
480,0.0391824683356,0.000874483999723,491
490,0.0398177272225,0.000909127998966,501
500,0.0398177272225,0.000921526998354,511
510,0.039832950209,0.000964557997577,521
520,0.0399072842057,0.000992637998934,531
530,0.0407495271983,0.00100175499938,541
540,0.0408904984936,0.00101087199982,551
550,0.041014374051,0.00101998899845,561
560,0.041014374051,0.00102874099866,571
570,0.0412478052649,0.00104223399831,581
580,0.0413755395681,0.00105171499854,591
590,0.0413755395681,0.00106083199717,601
600,0.0413755395681,0.00107140699765,611
610,0.0413755395681,0.00108088799789,621
620,0.04150406853,0.00109000499833,631
630,0.04150406853,0.00109948599675,641
640,0.041542352143,0.00122748599642,651
650,0.041542352143,0.00124900199626,661
660,0.041542352143,0.00128692799626,671
670,0.041542352143,0.00130479699692,681
680,0.041542352143,0.00133396999809,691
690,0.0424613706332,0.00136314399788,701
700,0.0426027036493,0.00139158899765,711
710,0.0426027036493,0.0014193049974,721
720,0.0427843646632,0.00142769199738,731
730,0.0427843646632,0.001449571997,741
740,0.0428946190328,0.00145832399721,751
750,0.0430959694497,0.00146744099766,761
760,0.0432112840576,0.00147619299787,771
770,0.0432112840576,0.00148458099829,781
780,0.0432116331699,0.00150755499817,791
790,0.0435479135995,0.00153016499826,801
800,0.0435479135995,0.00156371499725,811
810,0.0446565325147,0.00157319699611,821
820,0.0448254507964,0.00158231399655,831
830,0.0448254507964,0.00160455899641,841
840,0.0448254507964,0.00162643999647,851
850,0.0448254507964,0.00163555599647,861
860,0.0450548458168,0.00165196599664,871
870,0.0450548458168,0.00169754999661,881
880,0.0450548458168,0.00174933299604,891
890,0.0455040836849,0.00180002199522,901
900,0.0461633886191,0.00182883099478,911
910,0.0462411584381,0.00185691099614,921
920,0.0465283927439,0.00188535499547,931
930,0.0465283927439,0.00191635199553,941
940,0.0465731648512,0.00192510399575,951
950,0.0465940960589,0.00193385599596,961
960,0.0465983025299,0.0019564649956,971
970,0.0465983025299,0.00198454399469,981
980,0.0465983025299,0.0019936599947,991
990,0.0465983025299,0.00200241199491,1001
1000,0.0465983025299,0.00201152899353,1011
1010,0.0465983025299,0.00204471399411,1021
1020,0.0465983025299,0.00206878299468,1031
1030,0.0465983025299,0.00210561499443,1041
1040,0.0465983025299,0.00211400199441,1051
1050,0.0465983025299,0.00212348299465,1061
1060,0.046674361038,0.00215557399497,1071
1070,0.046674361038,0.00220407499546,1081
1080,0.0468534804534,0.00222230899453,1091
1090,0.0468921476381,0.00225294099437,1101
1100,0.0478064969759,0.00228101999346,1111
1110,0.0478064969759,0.00230873499277,1121
1120,0.0478064969759,0.00231712199275,1131
1130,0.0478064969759,0.0023448379925,1141
1140,0.0484762614081,0.00235358999089,1151
1150,0.0485861129717,0.00238239899227,1161
1160,0.0485861129717,0.00240683199081,1171
1170,0.0485861129717,0.0024294419909,1181
1180,0.0485861129717,0.00245168699075,1191
1190,0.0485861129717,0.00312742399183,1201
1200,0.0486349350665,0.00316644399209,1211
1210,0.0486349350665,0.00318868899194,1221
1220,0.0486349350665,0.00319780599239,1231
1230,0.0486839477501,0.00320655899122,1241
1240,0.0486839477501,0.00321567499122,1251
1250,0.0486869113476,0.00322552099169,1261
1260,0.0487815459246,0.00326928099275,1271
1270,0.0487815459246,0.00331741699301,1281
1280,0.0487815459246,0.00334987299175,1291
1290,0.0487815459246,0.00338050599203,1301
1300,0.0487815459246,0.00340858599156,1311
1310,0.0487815459246,0.00341733799178,1321
1320,0.0487815459246,0.00344505299108,1331
1330,0.0487815459246,0.00346766299117,1341
1340,0.0487863040648,0.00347641499138,1351
1350,0.0487863040648,0.00348553199001,1361
1360,0.0487863040648,0.00349464899045,1371
1370,0.0489525801915,0.00350376598908,1381
1380,0.049770970563,0.00351288298953,1391
1390,0.049770970563,0.00352199898953,1401
1400,0.049770970563,0.00353038598951,1411
1410,0.049770970563,0.00353913798972,1421
1420,0.049770970563,0.00354788998993,1431
1430,0.0500321238477,0.00355664198833,1441
1440,0.0500321238477,0.00356539398854,1451
1450,0.0500321238477,0.00357414598875,1461
1460,0.0500321238477,0.00358289898759,1471
1470,0.0500321238477,0.00359128698619,1481
1480,0.0500321238477,0.00360003898641,1491
1490,0.0500321238477,0.00364306998563,1501
1500,0.0500321238477,0.00368792498557,1511
1510,0.0500321238477,0.0037408029857,1521
1520,0.0500321238477,0.0037699769855,1531
1530,0.0500686605911,0.00377872898571,1541
1540,0.0500686605911,0.00380717298685,1551
1550,0.0500686605911,0.0038348889866,1561
1560,0.0500686605911,0.00384400598705,1571
1570,0.0500884662064,0.00387208598659,1581
1580,0.0500884662064,0.00389578998693,1591
1590,0.0500884662064,0.0039333509867,1601
1600,0.0500884662064,0.00394210298691,1611
1610,0.0500884662064,0.003964712987,1621
1620,0.0504312450888,0.00398768798732,1631
1630,0.0505147832735,0.00399644098798,1641
1640,0.0505378607165,0.0040055579866,1651
1650,0.0505378607165,0.00401430998681,1661
1660,0.0505378607165,0.00402269698679,1671
1670,0.0505378607165,0.00403874298536,1681
1680,0.0505378607165,0.00406572898646,1691
1690,0.0510934717971,0.00408943198636,1701
1700,0.0510934717971,0.00411641798564,1711
1710,0.0510934717971,0.00413465198653,1721
1720,0.0511638573401,0.00416710798709,1731
1730,0.0511820011174,0.00419591698665,1741
1740,0.0511820011174,0.00422363198595,1751
1750,0.0515291549816,0.00425134698708,1761
1760,0.0515353053702,0.00427906198638,1771
1770,0.0515353053702,0.00430677698751,1781
1780,0.0515353053702,0.00432938698759,1791
1790,0.0515760557191,0.00435199698768,1801
1800,0.0515760557191,0.00437424198753,1811
1810,0.0515760557191,0.00438262998796,1821
1820,0.0515760557191,0.00439138198817,1831
1830,0.0515760557191,0.00440013398838,1841
1840,0.0515760557191,0.00442274298803,1851
1850,0.0515760557191,0.00444462298765,1861
1860,0.0517386743254,0.00445337498786,1871
1870,0.0517386743254,0.00446212698807,1881
1880,0.0517386743254,0.00447087898829,1891
1890,0.0517386743254,0.0044796309885,1901
1900,0.0517386743254,0.00449385298816,1911
1910,0.0525712826768,0.00454198998887,1921
1920,0.0525712826768,0.00462331198833,1931
1930,0.0525712826768,0.00465613298729,1941
1940,0.0525712826768,0.00468640098734,1951
1950,0.0525712826768,0.00471593998736,1961
1960,0.0528198911054,0.00474474898692,1971
1970,0.0528198911054,0.00475459498739,1981
1980,0.0529376570093,0.00477829798729,1991
1990,0.0529376570093,0.00480236598742,2001
2000,0.0529376570093,0.00481221198788,2011
2010,0.0529376570093,0.00482205798835,2021
2020,0.0529376570093,0.00483080998856,2031
2030,0.0531465405571,0.00483992698719,2041
2040,0.0531465405571,0.00484904398763,2051
2050,0.0531465405571,0.00485816098808,2061
2060,0.0531465405571,0.00486691398874,2071
2070,0.0533024506884,0.0049081219895,2081
2080,0.0533024506884,0.00493328398807,2091
2090,0.0533024506884,0.00497704498775,2101
2100,0.0533024506884,0.00502955798765,2111
2110,0.0533024506884,0.00504195698886,2121
2120,0.0533301482937,0.00505581399011,2131
2130,0.0533301482937,0.00506711898925,2141
2140,0.0533301482937,0.00507951799045,2151
2150,0.0533301482937,0.00509665799109,2161
2160,0.0533301482937,0.00510832799228,2171
2170,0.0533301482937,0.00511890399139,2181
2180,0.0533301482937,0.00514333699175,2191
2190,0.0533301482937,0.00515391299086,2201
2200,0.05355404051,0.00516448898998,2211
2210,0.0535785781379,0.00518053398991,2221
2220,0.0535785781379,0.00519074499061,2231
2230,0.0535785781379,0.00520533199051,2241
2240,0.0535785781379,0.00521444799051,2251
2250,0.0535785781379,0.00522465899121,2261
2260,0.0535785781379,0.00523450499168,2271
2270,0.0535785781379,0.00524471499193,2281
2280,0.0535785781379,0.00527790099295,2291
2290,0.0535785781379,0.00531072099329,2301
2300,0.0539377104429,0.00533989399264,2311
2310,0.0540211632717,0.00536906699381,2321
2320,0.0540211632717,0.00539714699335,2331
2330,0.0540211632717,0.0054193919932,2341
2340,0.0540865551743,0.00542814399159,2351
2350,0.0544922136806,0.00545075399168,2361
2360,0.0544922136806,0.00545950699234,2371
2370,0.0544956871435,0.00546862399278,2381
2380,0.0544956871435,0.00547774099323,2391
2390,0.0549187330937,0.00548685699323,2401
2400,0.0549187330937,0.00549597399367,2411
2410,0.0549187330937,0.00550509099412,2421
2420,0.0549187330937,0.00551384299433,2431
2430,0.0549187330937,0.00552259499455,2441
2440,0.0549187330937,0.00553171199499,2451
2450,0.0549187330937,0.0055404639952,2461
2460,0.0549187330937,0.00554885199563,2471
2470,0.0549187330937,0.00555796899607,2481
2480,0.0549187330937,0.00558021399593,2491
2490,0.0551815584144,0.00560501199652,2501
2500,0.0553478269015,0.00562835099481,2511
2510,0.0553478269015,0.00564147999467,2521
2520,0.0553478269015,0.00571477899393,2531
2530,0.0553478269015,0.00574504699398,2541
2540,0.0553478269015,0.00577312699534,2551
2550,0.0553478269015,0.00578151399532,2561
2560,0.0553630497238,0.00580922899462,2571
2570,0.0553630497238,0.00583730899416,2581
2580,0.0553630497238,0.00586028399448,2591
2590,0.0553630497238,0.00588252899433,2601
2600,0.0553630497238,0.00589200999457,2611
2610,0.0554399161519,0.00590076299522,2621
2620,0.0554399161519,0.00590987999567,2631
2630,0.0560234774279,0.00591863199588,2641
2640,0.0560234774279,0.00592774899633,2651
2650,0.0560234774279,0.00593650099654,2661
2660,0.0560234774279,0.00595874599821,2671
2670,0.0560234774279,0.00596786199822,2681
2680,0.0563226260649,0.00597624899819,2691
2690,0.0563226260649,0.00598828299735,2701
2700,0.0569331147114,0.0059973999978,2711
2710,0.0570877585817,0.00600651699824,2721
2720,0.0570877585817,0.00601526899845,2731
2730,0.0572671186436,0.00602475099731,2741
2740,0.0572671186436,0.00603350299752,2751
2750,0.0572671186436,0.00604517199827,2761
2760,0.0572863649727,0.00606085199797,2771
2770,0.0572863649727,0.00611336399743,2781
2780,0.0572863649727,0.00612466899656,2791
2790,0.0572863649727,0.00615493699479,2801
2800,0.0572863649727,0.00618301699433,2811
2810,0.057364688884,0.00621146099365,2821
2820,0.057364688884,0.00623917599478,2831
2830,0.057364688884,0.00626142099463,2841
2840,0.057364688884,0.00628366599449,2851
2850,0.057364688884,0.00629278299493,2861
2860,0.057364688884,0.00630153499515,2871
2870,0.057364688884,0.00631028699536,2881
2880,0.057364688884,0.00633362599547,2891
2890,0.057364688884,0.00635587099532,2901
2900,0.0584540687268,0.00636462299553,2911
2910,0.0584540687268,0.0063762929949,2921
2920,0.0584540687268,0.00638577499558,2931
2930,0.0584540687268,0.00639452799624,2941
2940,0.0584540687268,0.00640583299719,2951
2950,0.0584540687268,0.00641494999763,2961
2960,0.0584540687268,0.00642406699808,2971
2970,0.0584540687268,0.00645068799713,2981
2980,0.0584540687268,0.00646308699652,2991
2990,0.0584540687268,0.00648679099686,3001
3000,0.0584540687268,0.00649736599735,3011
