iterations,fitness,time,fevals
0,0.021814544434,1.31289998535e-05,11
10,0.0218589520845,5.1054999858e-05,21
20,0.0225380383497,7.07480012352e-05,31
30,0.0231697082877,8.38760006445e-05,41
40,0.0236850347194,9.62739995884e-05,51
50,0.0247005120687,0.000107214000309,61
60,0.0258131552284,0.000118882999232,71
70,0.0260933984872,0.000130552998598,81
80,0.0262845997066,0.000142951999806,91
90,0.0265234970191,0.00015389300097,101
100,0.0266840198595,0.000166657000591,111
110,0.0273648227353,0.000179421000212,121
120,0.0279486243332,0.000191455999811,131
130,0.0280119757142,0.000203854999199,141
140,0.0285659939325,0.000215888998355,151
150,0.0286537188233,0.000227558997722,161
160,0.0288791932473,0.000240322997342,171
170,0.0288791932473,0.000257097997746,181
180,0.0291222215675,0.000299399998767,191
190,0.0294556513921,0.00031617499917,201
200,0.0300904106484,0.000342430999808,211
210,0.0305387521385,0.000357017999704,221
220,0.0308785163461,0.000389108998206,231
230,0.0313781920264,0.000403695998102,241
240,0.0316468341054,0.000436150998212,251
250,0.0316468341054,0.000463865997517,261
260,0.0316635705479,0.000478452997413,271
270,0.0316857799209,0.000498145996971,281
280,0.0318583053479,0.000511638996613,291
290,0.0318583053479,0.000526590996742,301
300,0.0319907411087,0.000539718996151,311
310,0.0319956247215,0.000559411997529,321
320,0.0320850982572,0.00058603299658,331
330,0.0321974684383,0.000600618997851,341
340,0.0323869974828,0.000623592997727,351
350,0.0329644049215,0.000654225998005,361
360,0.0331082435124,0.000675740997394,371
370,0.0335992955818,0.000695067998095,381
380,0.0336141490538,0.000708925997969,391
390,0.0337126190283,0.000727524999093,401
400,0.0344041906606,0.00075852199916,411
410,0.0344508436796,0.000807387998066,421
420,0.0345797379686,0.00082707999718,431
430,0.0348984038274,0.000844948997837,441
440,0.0349144962942,0.000862452998263,451
450,0.0353367337472,0.00090913099848,461
460,0.0357255711723,0.000964560998909,471
470,0.0365322135609,0.00101160299891,481
480,0.037416636496,0.00102764799885,491
490,0.0376149592781,0.00104442299926,501
500,0.0380256564112,0.00107396199928,511
510,0.0380256564112,0.00112793399967,521
520,0.0380256564112,0.0011877399993,531
530,0.038030594859,0.00123077099852,541
540,0.0380378954564,0.00125082799968,551
550,0.0386128592799,0.00128401300026,561
560,0.0386128592799,0.00130224699933,571
570,0.03882212829,0.0013197520002,581
580,0.03882212829,0.00133907999952,591
590,0.0392568912963,0.0013620539994,601
600,0.0392950275127,0.00138101699849,611
610,0.0393362864416,0.00144301099863,621
620,0.039481542798,0.00146926699745,631
630,0.0395645296331,0.00149297099779,641
640,0.0396201129529,0.00151849799659,651
650,0.0407368216055,0.00154147199646,661
660,0.0411809899969,0.00158158599515,671
670,0.0411809899969,0.00161221899361,681
680,0.0413158156621,0.00174277199403,691
690,0.0415798484096,0.0018116949941,701
700,0.0415798484096,0.00184998599434,711
710,0.0417155810854,0.0018871819957,721
720,0.0423048903291,0.00190468599612,731
730,0.0429289072503,0.00194078899585,741
740,0.0429289072503,0.00197251499594,751
750,0.0434077097418,0.00199001899455,761
760,0.0434077097418,0.00201299299442,771
770,0.0434277443111,0.00203122699349,781
780,0.0434277443111,0.00205347199335,791
790,0.0436941450321,0.00207972899261,801
800,0.0438192624761,0.00209832799192,811
810,0.0438192624761,0.00212750099308,821
820,0.0443277963342,0.00218840099296,831
830,0.0444786193218,0.00225841799329,841
840,0.0453868891242,0.00228977999359,851
850,0.0453868891242,0.00231931899361,861
860,0.0453868891242,0.00234010499298,871
870,0.0462629456184,0.00235833799161,881
880,0.046888629673,0.00237584199203,891
890,0.046888629673,0.00239954499193,901
900,0.046888629673,0.00241814299079,911
910,0.046888629673,0.0024837839901,921
920,0.048297270314,0.00251003999074,931
930,0.048297270314,0.00253046199032,941
940,0.048297270314,0.00255671799096,951
950,0.048297270314,0.0025767749903,961
960,0.048297270314,0.0026015729909,971
970,0.0483639085383,0.00263876999088,981
980,0.0483639085383,0.00271826899188,991
990,0.0483639085383,0.0028276709927,1001
1000,0.0483851532819,0.00288674799231,1011
1010,0.0484278631886,0.00291628599189,1021
1020,0.0484278631886,0.00294801299242,1031
1030,0.0484400614328,0.00297718599359,1041
1040,0.0486101080814,0.00301073599439,1051
1050,0.0486101080814,0.00304647299345,1061
1060,0.0487940746989,0.00307819999398,1071
1070,0.0487940746989,0.00311065599271,1081
1080,0.0489626050773,0.00314274799166,1091
1090,0.049021056533,0.00322662199142,1101
1100,0.049021056533,0.00328460499259,1111
1110,0.0490340365888,0.00335717399139,1121
1120,0.0490444047841,0.00340239299112,1131
1130,0.0490444047841,0.00347095099096,1141
1140,0.0493436504733,0.0035158059909,1151
1150,0.0494183802296,0.00358217599023,1161
1160,0.0494183802296,0.00361499599057,1171
1170,0.0494183802296,0.0036445349906,1181
1180,0.0494183802296,0.00367662599092,1191
1190,0.0494183802296,0.00370689399097,1201
1200,0.0494183802296,0.00373497399232,1211
1210,0.0494183802296,0.00377034699341,1221
1220,0.0494183802296,0.0038797489924,1231
1230,0.0494183802296,0.00408797699129,1241
1240,0.0494183802296,0.00412845599203,1251
1250,0.0494183802296,0.00416601799225,1261
1260,0.0499784103928,0.00420139099333,1271
1270,0.0499784103928,0.00424186999408,1281
1280,0.0499784103928,0.00427468999442,1291
1290,0.0499784103928,0.00430641599451,1301
1300,0.0499784103928,0.00433522499407,1311
1310,0.0499784103928,0.00438773799397,1321
1320,0.0499784103928,0.00441837099424,1331
1330,0.0499784103928,0.00445155599482,1341
1340,0.0499784103928,0.00448072999461,1351
1350,0.0513484615854,0.00451464499383,1361
1360,0.0513484615854,0.0045642409932,1371
1370,0.0513484615854,0.00460617799399,1381
1380,0.0515272958109,0.00466890199277,1391
1390,0.0515272958109,0.00475569399168,1401
1400,0.0515272958109,0.00481221799055,1411
1410,0.0515272958109,0.00484321499061,1421
1420,0.0516728824766,0.00487092999174,1431
1430,0.0516728824766,0.00491213799251,1441
1440,0.0516728824766,0.00495298099122,1451
1450,0.0524332956271,0.00498689499182,1461
1460,0.0524332956271,0.00501424599133,1471
1470,0.0524332956271,0.00504670199189,1481
1480,0.0534519172568,0.00507952299267,1491
1490,0.0535672734772,0.00512218899166,1501
1500,0.0535672734772,0.00515537499268,1511
1510,0.0535672734772,0.00521590999233,1521
1520,0.0535672734772,0.00529686699156,1531
1530,0.0535672734772,0.00552515199161,1541
1540,0.0537064531022,0.00556563099235,1551
1550,0.0537064531022,0.00560100399161,1561
1560,0.0537064531022,0.00563564799086,1571
1570,0.0537078366434,0.00566482199065,1581
1580,0.0537078366434,0.00570894699013,1591
1590,0.0537078366434,0.00575124898933,1601
1600,0.0537078366434,0.00584934598919,1611
1610,0.0537078366434,0.0059970379898,1621
1620,0.0537078366434,0.00605356198867,1631
1630,0.0537078366434,0.00610643899017,1641
1640,0.0537078366434,0.00614035298895,1651
1650,0.0537078366434,0.00617025698921,1661
1660,0.0539781578777,0.00620380699002,1671
1670,0.0539781578777,0.0062519439889,1681
1680,0.0539781578777,0.00629242298965,1691
1690,0.0539781578777,0.0063606169897,1701
1700,0.0539781578777,0.00638942598925,1711
1710,0.0539781578777,0.00643282199053,1721
1720,0.0541399861068,0.00647074799053,1731
1730,0.0541399861068,0.00650794499052,1741
1740,0.0541399861068,0.00654368299001,1751
1750,0.0542334603079,0.00661734699133,1761
1760,0.0542845487463,0.0066906459906,1771
1770,0.0542845487463,0.00683031598965,1781
1780,0.0550238096402,0.0068671479894,1791
1790,0.0551433104916,0.00689632198919,1801
1800,0.0551433104916,0.00692804798928,1811
1810,0.0551433104916,0.00695795198953,1821
1820,0.0551433104916,0.0069863969893,1831
1830,0.0551433104916,0.00701994598967,1841
1840,0.0551433104916,0.00705094398836,1851
1850,0.0552316671508,0.00707537698872,1861
1860,0.0552316671508,0.00709689298856,1871
1870,0.0552316671508,0.00712497198947,1881
1880,0.0553525911266,0.00715013398985,1891
1890,0.0555980519124,0.00717930798965,1901
1900,0.0555980519124,0.0072092119899,1911
1910,0.0555980519124,0.00723984498836,1921
1920,0.0556114210585,0.00727521898807,1931
1930,0.0559227801896,0.00732226198852,1941
1940,0.0559227801896,0.0074349459901,1951
1950,0.0559227801896,0.00756039299085,1961
1960,0.0561739527659,0.00759649499014,1971
1970,0.0561739527659,0.00764827899002,1981
1980,0.0561739527659,0.00767818199165,1991
1990,0.0562057288887,0.00771902499037,2001
2000,0.0562314951173,0.00774528098918,2011
2010,0.0562314951173,0.0077963349886,2021
2020,0.0562314951173,0.00782514398816,2031
2030,0.0565171388553,0.00785395298772,2041
2040,0.0565171388553,0.00788385598753,2051
2050,0.0565255836748,0.00790391298688,2061
2060,0.0565255836748,0.00793272198644,2071
2070,0.0565255836748,0.00796116698621,2081
2080,0.0565255836748,0.00798924698574,2091
2090,0.0565255836748,0.0080140439859,2101
2100,0.0565255836748,0.00804066498677,2111
2110,0.0565589600796,0.00807931998497,2121
2120,0.0569448944689,0.00810812998498,2131
2130,0.0570294821665,0.00816428998587,2141
2140,0.0570294821665,0.0082467059874,2151
2150,0.057401090305,0.00828754898612,2161
2160,0.057401090305,0.00831927498621,2171
2170,0.0577060720082,0.008348448986,2181
2180,0.0577060720082,0.00837798798602,2191
2190,0.0577060720082,0.00840971398611,2201
2200,0.0578038825412,0.00843779398747,2211
2210,0.0578038825412,0.00846951998756,2221
2220,0.0578038825412,0.00850051698762,2231
2230,0.0578038825412,0.00853078498767,2241
2240,0.0578038825412,0.00855995798884,2251
2250,0.0578038825412,0.00858803798837,2261
2260,0.0578038825412,0.00861866998821,2271
2270,0.0578038825412,0.00866753598893,2281
2280,0.0578713308779,0.00877766698795,2291
2290,0.0578713308779,0.00881559298796,2301
2300,0.0578812598789,0.00884440198934,2311
2310,0.0578812598789,0.00887248098843,2321
2320,0.0578812598789,0.00890238398824,2331
2330,0.0578812598789,0.00893155698941,2341
2340,0.0578969735495,0.00895380198926,2351
2350,0.0578969735495,0.00898151698857,2361
2360,0.0578969735495,0.00901287898887,2371
2370,0.0578969735495,0.00904205298866,2381
2380,0.0578969735495,0.00906903898976,2391
2390,0.0578969735495,0.00909675399089,2401
2400,0.0582417545165,0.00912337498994,2411
2410,0.0582417545165,0.00915181899109,2421
2420,0.0582417545165,0.0091809929927,2431
2430,0.058389434069,0.00920834299359,2441
2440,0.058389434069,0.00923678799518,2451
2450,0.0584698559865,0.00926705599522,2461
2460,0.0584698559865,0.00933196799451,2471
2470,0.0584698559865,0.00939177399414,2481
2480,0.0584698559865,0.00943042899416,2491
2490,0.0584698559865,0.00946798999394,2501
2500,0.0584698559865,0.00950518699392,2511
2510,0.0584698559865,0.00953910199314,2521
2520,0.0584698559865,0.00957082799323,2531
2530,0.0589584219072,0.0096036489922,2541
2540,0.0589584219072,0.009637198993,2551
2550,0.0589584219072,0.00966892499309,2561
2560,0.0589584219072,0.00971961499454,2571
2570,0.0589584219072,0.00981041899468,2581
2580,0.0590900056346,0.00987897699451,2591
2590,0.0590900056346,0.0100678769941,2601
2600,0.059283629018,0.0101171069928,2611
2610,0.059283629018,0.0102323429928,2621
2620,0.059283629018,0.0103446619923,2631
2630,0.059283629018,0.0103858699913,2641
2640,0.059283629018,0.0104132199904,2651
2650,0.059283629018,0.0104464049909,2661
2660,0.059283629018,0.0104781319915,2671
2670,0.059283629018,0.0105237159914,2681
2680,0.0593786308711,0.0105700289914,2691
2690,0.0593786308711,0.0106641139919,2701
2700,0.0593786308711,0.0107210029928,2711
2710,0.0593786308711,0.0107600219926,2721
2720,0.0593786308711,0.010788830994,2731
2730,0.0593786308711,0.0108183689936,2741
2740,0.0593786308711,0.0108486369936,2751
2750,0.0593786308711,0.0108803639941,2761
2760,0.0593786308711,0.0109084429951,2771
2770,0.0593786308711,0.0109376169949,2781
2780,0.0593786308711,0.0109653319942,2791
2790,0.0593786308711,0.010995234994,2801
2800,0.0593786308711,0.0110200329927,2811
2810,0.0597494754227,0.0110488419923,2821
2820,0.0597494754227,0.0110787449921,2831
2830,0.0597494754227,0.0111057309914,2841
2840,0.0597494754227,0.0111327169925,2851
2850,0.0597494754227,0.0111575139927,2861
2860,0.0602076440609,0.0111830409915,2871
2870,0.0602076440609,0.0112136739917,2881
2880,0.0602076440609,0.0112621759909,2891
2890,0.0602076440609,0.0113052079905,2901
2900,0.0602076440609,0.0113741309906,2911
2910,0.0602076440609,0.0114135159893,2921
2920,0.0602076440609,0.0114361259893,2931
2930,0.0602076440609,0.0114642059889,2941
2940,0.0602076440609,0.01149119199,2951
2950,0.0602076440609,0.0115181769906,2961
2960,0.0602076440609,0.0115477149902,2971
2970,0.0602076440609,0.0115779819916,2981
2980,0.0602076440609,0.011605696991,2991
2990,0.0602076440609,0.0116337769905,3001
3000,0.0602076440609,0.0116633149901,3011
