,iterations,SA 0.15 fitness,SA 0.15 time,SA 0.15 feval,SA 0.35 fitness,SA 0.35 time,SA 0.35 feval,SA 0.55 fitness,SA 0.55 time,SA 0.55 feval,SA 0.75 fitness,SA 0.75 time,SA 0.75 feval,SA 0.95 fitness,SA 0.95 time,SA 0.95 feval,SA fitness,SA time,RHC fitness,RHC time,RHC feval,"GA (100,50,50) fitness","GA (100,50,50) time","GA (100,50,50) feval","GA (100,50,30) fitness","GA (100,50,30) time","GA (100,50,30) feval","GA (100,50,10) fitness","GA (100,50,10) time","GA (100,50,10) feval","GA (100,30,50) fitness","GA (100,30,50) time","GA (100,30,50) feval","GA (100,30,30) fitness","GA (100,30,30) time","GA (100,30,30) feval","GA (100,30,10) fitness","GA (100,30,10) time","GA (100,30,10) feval","GA (100,10,50) fitness","GA (100,10,50) time","GA (100,10,50) feval","GA (100,10,30) fitness","GA (100,10,30) time","GA (100,10,30) feval","GA (100,10,10) fitness","GA (100,10,10) time","GA (100,10,10) feval",GA fitness,GA time,"MIMIC (100,50,0.1) fitness","MIMIC (100,50,0.1) time","MIMIC (100,50,0.1) feval","MIMIC (100,50,0.3) fitness","MIMIC (100,50,0.3) time","MIMIC (100,50,0.3) feval","MIMIC (100,50,0.5) fitness","MIMIC (100,50,0.5) time","MIMIC (100,50,0.5) feval","MIMIC (100,50,0.7) fitness","MIMIC (100,50,0.7) time","MIMIC (100,50,0.7) feval","MIMIC (100,50,0.9) fitness","MIMIC (100,50,0.9) time","MIMIC (100,50,0.9) feval",MIMIC fitness,MIMIC time
0,0,7.800000000000001,2.9246799999878e-05,11.0,7.199999999999999,1.2617399999922e-05,11.0,6.8,1.2033999999778001e-05,11.0,7.0,1.327380000014e-05,11.0,8.0,1.3273999999958e-05,11.0,7.359999999999999,1.60891999999352e-05,10.400000000000002,7.694580000000002e-05,11.0,16.4,0.0015803432000000002,800.8000000000001,15.600000000000001,0.0007488906000005999,729.8000000000001,17.0,0.0007446602000004,648.8000000000001,17.2,0.0016142579999996,673.6,18.599999999999998,0.0005731190000002001,583.4,16.0,0.0004694058000002,465.8,15.200000000000001,0.0005489774000002,558.0,14.200000000000001,0.00045722559999940006,430.8,14.799999999999999,0.0003877193999996,285.20000000000005,16.11111111111111,0.0007916221333333556,18.0,0.08889854060002,1000.0,16.8,0.07094879319998,1000.0,16.8,0.0735650974,1000.0,15.8,0.074336452,1000.0,19.0,0.07305397259999999,1000.0,17.28,0.07616057116
1,10,8.0,4.966880000004001e-05,21.0,7.999999999999999,2.1880199999820003e-05,21.0,6.799999999999999,2.26095999997e-05,21.0,8.6,2.567260000018e-05,21.0,8.0,0.0033973590000001205,21.0,7.880000000000001,0.0007034380399999721,10.8,0.00014528539999997999,21.0,20.2,0.0024473148,1495.3999999999999,17.799999999999997,0.0014166784000000001,1365.1999999999998,18.4,0.0013107044,1195.6,19.0,0.0022192494,1249.2,19.200000000000003,0.0012035642000003998,1069.3999999999999,17.2,0.0009145245999998,831.8,17.2,0.0010251662,1014.0,15.400000000000002,0.0008591672000004,767.2,16.4,0.0007022858000003999,473.6,17.866666666666667,0.0013442950000001111,21.6,0.169196872,2100.0,22.6,0.1330828762,2100.0,22.6,0.1384990608,2100.0,18.8,0.14447764219999998,2100.0,24.2,0.14240783540000002,2100.0,21.96,0.14553285732
2,20,8.0,8.227060000008001e-05,31.0,7.6,3.435220000012e-05,31.0,6.6,3.260139999988e-05,31.0,8.8,3.748780000014e-05,31.0,7.6,0.00340910160000028,31.0,7.719999999999999,0.0007191627200001,10.8,0.0001945165999999,31.0,22.400000000000002,0.003234569,2193.8,18.6,0.002112473200002,1996.8000000000002,20.0,0.0018546495999999999,1741.6,19.0,0.0028044752,1825.8,21.0,0.0017490410000000002,1547.3999999999999,18.0,0.0015645166000000002,1196.8,17.599999999999998,0.0014844346,1473.4,18.0,0.0012567330000000001,1102.2,16.8,0.0010964962000004001,663.0,19.044444444444444,0.0019063764888891555,20.400000000000002,0.2293361258,3200.0,22.0,0.1901642808,3200.0,23.0,0.20077908639999997,3200.0,19.8,0.2073640444,3200.0,25.8,0.2052759308,3200.0,22.2,0.20658389364000002
3,30,8.4,9.992060000002e-05,41.0,7.8,4.281240000016e-05,41.0,7.4,4.3468800000119994e-05,41.0,8.200000000000001,4.8792399999979994e-05,41.0,6.8,0.0034195312000004007,41.0,7.720000000000001,0.0007309050800001361,11.4,0.00026883699999986,41.0,23.8,0.004000672,2893.0,20.6,0.002755390400002,2622.3999999999996,20.200000000000003,0.0023821116,2290.2000000000003,21.4,0.0033452842,2401.4,21.799999999999997,0.0022280742,2034.7999999999997,19.8,0.0019817016,1566.0,18.6,0.0019639058,1929.6,18.2,0.0016491934,1428.9999999999998,17.8,0.0013982986,849.4000000000001,20.244444444444447,0.002411625755555778,20.2,0.28156367080000005,4300.0,23.599999999999998,0.2463000174,4300.0,22.200000000000003,0.26166402180000004,4300.0,21.8,0.27097483140000006,4300.0,27.0,0.26880174920000005,4300.0,22.96,0.26586085812000004
4,40,8.4,0.000113778,51.0,8.2,5.141880000014e-05,51.0,7.4,5.3752600000219996e-05,51.0,7.8,6.089960000014e-05,51.0,6.800000000000001,0.0034303984000003,51.0,7.7200000000000015,0.00074204948000016,11.4,0.00033338399999975995,51.0,24.6,0.005191837,3588.4,21.4,0.0034764929999999998,3252.7999999999997,20.400000000000002,0.0029037386,2839.6,22.200000000000003,0.003906077,2971.2000000000003,25.8,0.0027296444,2514.6,19.8,0.0023466656,1931.4,18.4,0.0024305402,2386.0,18.599999999999998,0.0020525936,1765.6,18.599999999999998,0.0017106767999999998,1037.2,21.08888888888889,0.002972029577777778,20.2,0.3327495666,5400.0,24.6,0.3009937674,5400.0,22.4,0.32298649040000005,5400.0,22.4,0.3322714814,5400.0,27.599999999999998,0.33600462980000007,5400.0,23.44,0.32500118712000003
5,50,9.4,0.00013361639999964,61.0,8.8,6.08274e-05,61.0,8.2,6.534920000024e-05,61.0,7.8,7.140200000010001e-05,61.0,7.800000000000001,0.0034402444000003396,61.0,8.4,0.000754287880000064,11.4,0.00039515939999978,61.0,25.400000000000002,0.0059649416,4284.2,21.999999999999996,0.0040997178,3883.4,21.2,0.0033867834,3388.0,23.0,0.004502169800000001,3545.3999999999996,27.2,0.0032376326,2994.3999999999996,20.6,0.0027106815999999997,2299.2000000000003,19.8,0.0029224832,2846.8,19.6,0.0024400944,2107.2,19.999999999999996,0.0019991324,1224.0,22.08888888888889,0.003473737422222222,19.8,0.3829726548,6500.0,25.4,0.3540204551999999,6500.0,23.799999999999997,0.38075501040000004,6500.0,25.0,0.39326618320000006,6500.0,27.8,0.4008933008,6500.0,24.36,0.38238152088
6,60,9.6,0.00014419179999966,71.0,8.8,6.98712e-05,71.0,8.2,7.628940000048e-05,71.0,7.800000000000001,8.248820000017999e-05,71.0,7.600000000000001,0.0034500176000002206,71.0,8.4,0.0007645716400001082,11.6,0.00046240499999976,71.0,25.4,0.0067155828,4978.8,22.400000000000002,0.0047109082,4511.4,21.4,0.0039049092,3935.0,23.0,0.005066172,4120.4,27.4,0.0037604266,3476.3999999999996,20.0,0.003079219399998,2669.2,21.400000000000002,0.0033461593999999997,3300.2,20.6,0.0028528302000000003,2441.4,18.999999999999996,0.002299841,1410.1999999999998,22.288888888888884,0.003970672088888667,20.599999999999998,0.43229055359999996,7600.0,24.8,0.40817996079999996,7600.0,24.0,0.4412824942,7600.0,26.399999999999995,0.45495667900000003,7600.0,29.2,0.4636584856,7600.0,24.999999999999996,0.44007363464000004
7,70,9.6,0.00015396499999952,81.0,9.2,8.095699999996001e-05,81.0,8.2,9.554380000042e-05,81.0,8.0,9.612700000000001e-05,81.0,7.600000000000001,0.0034599368000001996,81.0,8.52,0.0007773059200000199,11.8,0.0006003239999997599,81.0,25.6,0.007491823999999999,5681.4,24.6,0.0052840266,5141.0,21.4,0.0043910172,4481.6,24.599999999999998,0.0060750008,4698.0,27.8,0.0042681232,3959.2,20.6,0.0034374002000020004,3037.6000000000004,21.8,0.0038052084,3760.6,20.599999999999998,0.0033283624,2770.6,19.799999999999997,0.0025995287999999997,1594.4,22.977777777777774,0.0045200546222224445,20.999999999999996,0.4811158532,8700.0,24.4,0.4608801212,8700.0,25.4,0.5027462372,8700.0,27.0,0.517313942,8700.0,32.4,0.5262209127999999,8700.0,26.04,0.49765541327999996
8,80,11.0,0.00016395699999924,91.0,9.2,9.014639999994e-05,91.0,8.6,0.00011450680000084,91.0,9.0,0.0001080880000003,91.0,8.0,0.00347430500000032,91.0,9.16,0.000790200640000128,11.8,0.0006734771999998,91.0,26.400000000000002,0.0081314586,6371.4,26.6,0.005861448399999999,5766.4,21.6,0.004860641999999999,5032.6,26.0,0.0066346999999999995,5276.0,28.799999999999997,0.0047230152,4437.0,20.2,0.0037974773999999998,3406.0,21.8,0.004251202600002,4214.6,21.200000000000003,0.0037293557999999996,3102.8,20.799999999999997,0.0029006752,1780.7999999999997,23.71111111111111,0.004987775022222445,20.6,0.5288551593999999,9800.0,26.200000000000003,0.5129025748,9800.0,26.400000000000002,0.5612467276,9800.0,28.4,0.5803481822000001,9800.0,32.6,0.5891723726,9800.0,26.84,0.55450500332
9,90,11.6,0.00017511599999902,101.0,9.2,0.00010086760000003999,101.0,8.6,0.00012588460000088,101.0,9.0,0.00012099700000026001,101.0,7.200000000000001,0.0034837868000003997,101.0,9.12,0.00080133040000012,13.200000000000001,0.0007372219999998,101.0,28.2,0.0087768552,7063.800000000001,27.599999999999998,0.0064297536,6399.0,22.0,0.0053354452,5580.6,25.8,0.0071811246,5850.0,28.6,0.005154714199997999,4916.0,20.8,0.004129547800002,3771.0,23.400000000000002,0.004672471999998,4671.0,22.0,0.004098331200002,3436.0,20.6,0.0032118864,1965.7999999999997,24.333333333333332,0.0054433478,20.400000000000002,0.5777887666,10900.0,24.8,0.5661857,10900.0,27.2,0.6209033742000001,10900.0,28.799999999999997,0.6433656472,10900.0,35.4,0.6497095568,10900.0,27.32,0.6115906089600001
