,iterations,SA 0.15 fitness,SA 0.15 time,SA 0.15 feval,SA 0.35 fitness,SA 0.35 time,SA 0.35 feval,SA 0.55 fitness,SA 0.55 time,SA 0.55 feval,SA 0.75 fitness,SA 0.75 time,SA 0.75 feval,SA 0.95 fitness,SA 0.95 time,SA 0.95 feval,SA fitness,SA time,RHC fitness,RHC time,RHC feval,"GA (100,50,50) fitness","GA (100,50,50) time","GA (100,50,50) feval","GA (100,50,30) fitness","GA (100,50,30) time","GA (100,50,30) feval","GA (100,50,10) fitness","GA (100,50,10) time","GA (100,50,10) feval","GA (100,30,50) fitness","GA (100,30,50) time","GA (100,30,50) feval","GA (100,30,30) fitness","GA (100,30,30) time","GA (100,30,30) feval","GA (100,30,10) fitness","GA (100,30,10) time","GA (100,30,10) feval","GA (100,10,50) fitness","GA (100,10,50) time","GA (100,10,50) feval","GA (100,10,30) fitness","GA (100,10,30) time","GA (100,10,30) feval","GA (100,10,10) fitness","GA (100,10,10) time","GA (100,10,10) feval",GA fitness,GA time,"MIMIC (100,50,0.1) fitness","MIMIC (100,50,0.1) time","MIMIC (100,50,0.1) feval","MIMIC (100,50,0.3) fitness","MIMIC (100,50,0.3) time","MIMIC (100,50,0.3) feval","MIMIC (100,50,0.5) fitness","MIMIC (100,50,0.5) time","MIMIC (100,50,0.5) feval","MIMIC (100,50,0.7) fitness","MIMIC (100,50,0.7) time","MIMIC (100,50,0.7) feval","MIMIC (100,50,0.9) fitness","MIMIC (100,50,0.9) time","MIMIC (100,50,0.9) feval",MIMIC fitness,MIMIC time
0,0,501.4,4.930359999988e-05,11.0,498.4,2.97574000001e-05,11.0,499.40000000000003,4.171839999997999e-05,11.0,495.59999999999997,4.0405399999620005e-05,11.0,501.19999999999993,3.165319999992e-05,11.0,499.19999999999993,3.85675999999e-05,502.6,0.0011460178,11.0,534.0,0.010776856800000002,803.1999999999999,538.4000000000001,0.0037887952,731.8,538.8,0.0037744270000000003,649.2,539.0,0.0033771533999999996,679.0,540.0,0.003987322599999999,581.0,530.8,0.0026102486,470.2,530.2,0.0030094911999999996,560.6,535.2,0.0025880764,436.79999999999995,540.8000000000001,0.0016107558,285.4,536.3555555555555,0.00394701411111111,565.0,8.7877646744,1000.0,557.0,9.0119982162,1000.0,552.4,9.400197579399999,1000.0,554.8000000000001,8.8499799616,1000.0,555.4000000000001,8.7771239132,1000.0,556.9200000000001,8.96541286896
1,10,504.19999999999993,9.357499999966e-05,21.0,497.2,6.695399999987999e-05,21.0,498.6,8.460400000002e-05,21.0,495.19999999999993,8.05193999996e-05,21.0,501.6,6.33067999999e-05,21.0,499.35999999999996,7.7791839999812e-05,503.0,0.0022419296000000203,21.0,537.4,0.015402720000000002,1502.0,545.6,0.0071276581999999995,1363.4,545.6,0.006771884000000001,1193.4,543.6,0.006294528399998,1259.6000000000001,536.9999999999999,0.006893247,1067.8,533.1999999999999,0.004657224600000001,836.4,530.5999999999999,0.005148947799998,1019.2,546.4,0.004709737400002001,765.0,543.4,0.0036427078,469.00000000000006,540.311111111111,0.006738739466666446,606.0,16.7947111636,2100.0,601.8000000000001,18.031985591,2100.0,594.6,18.4430115918,2100.0,577.8,17.416883944400002,2100.0,573.8,17.343958681399997,2100.0,590.8,17.60611019444
2,20,508.20000000000005,0.00013295959999982,31.0,500.0,9.262679999980001e-05,31.0,501.6,0.00012610379999986,31.0,495.6,0.00011501740000006001,31.0,500.4,9.940939999998001e-05,31.0,501.16,0.000113223399999904,505.8,0.00242536,31.0,537.6,0.019417028399999998,2198.6,548.0,0.009978079600002,1997.1999999999998,537.0,0.009498389799998001,1737.8000000000002,544.1999999999999,0.0092164254,1838.8,546.6,0.009958387199999998,1547.0,534.0,0.006679403199998,1202.6,533.1999999999999,0.0071767426,1473.2,547.2,0.006684435600001999,1101.4,545.4,0.006484012000000001,654.6,541.4666666666666,0.009454767088888889,665.9999999999999,23.7323778688,3200.0,657.0,25.9124197402,3200.0,638.1999999999999,27.116820090399997,3200.0,616.8,25.55813501,3200.0,599.4,25.7290573122,3200.0,635.48,25.609762004319997
3,30,510.19999999999993,0.00016534259999968,41.0,502.8,0.00012406139999968,41.0,504.0,0.0001864205999996,41.0,495.59999999999997,0.00014936939999972003,41.0,500.4,0.00012267540000004,41.0,502.59999999999997,0.000149573879999744,508.20000000000005,0.0035424230000000003,41.0,541.4,0.022705785400000005,2898.2,557.1999999999999,0.0126266188,2626.3999999999996,546.0,0.011792905000000001,2283.6000000000004,545.4,0.011806617199999998,2416.6,542.2,0.0124919088,2029.8000000000002,533.8,0.008462721399998,1572.2,530.2,0.0091864494,1930.6,546.2,0.008646735000000001,1435.8000000000002,538.0,0.008284834599998,840.2,542.2666666666668,0.011778286177777333,696.8000000000001,29.770213161799997,4300.0,694.8,32.7534152068,4300.0,678.0,34.962603042800005,4300.0,648.8,33.5568633994,4300.0,623.8,33.8020553638,4300.0,668.4399999999999,32.96903003492
4,40,512.2,0.0001983819999994,51.0,506.8,0.00014958839999999998,51.0,506.0,0.00022274219999979998,51.0,497.2,0.0001817522000002,51.0,501.6,0.0001463064,51.0,504.76,0.00017975423999988,509.80000000000007,0.004661673999999999,51.0,537.0,0.025723883,3586.8,555.2,0.015312281599999998,3253.2,547.8,0.014140006200000001,2830.2000000000003,547.6,0.0143744178,2995.0,543.8,0.0152967462,2509.6,542.8000000000001,0.0102666072,1938.0000000000002,534.0,0.010955108400001998,2389.6,551.0,0.010453902800000001,1765.8000000000002,537.0,0.010005648599998,1026.8,544.0222222222222,0.014058733533333333,716.6,35.531068623799996,5400.0,721.0000000000001,39.123622534000006,5400.0,710.0,42.409417214200005,5400.0,678.6,41.00386924280001,5400.0,641.2,41.6356880318,5400.0,693.48,39.94073312932
5,50,513.4,0.00023368219999979998,61.0,510.20000000000005,0.00017934559999979998,61.0,510.80000000000007,0.0002613248,61.0,496.80000000000007,0.00021136320000039998,61.0,502.80000000000007,0.0001752609999998,61.0,506.8,0.00021219535999996,513.0,0.005578896800000001,61.0,542.0,0.0291252508,4284.4,558.0,0.0177597408,3879.4,544.6,0.0161995272,3378.2,541.4,0.0173873368,3567.2,547.2,0.017566245,2989.7999999999997,542.8,0.012011708,2305.6,534.0,0.0127150878,2846.4,553.6,0.0134242282,2096.7999999999997,537.0,0.0117670872,1214.0,544.5111111111111,0.01643957908888889,723.4,41.1861172326,6500.0,736.4000000000001,45.37021564140001,6500.0,733.6,49.1696053998,6500.0,708.5999999999999,48.2660823416,6500.0,659.0,49.2640989634,6500.0,712.2,46.651223915760006
6,60,516.6,0.0002677429999998,71.0,512.2,0.0002077900000002,71.0,512.8,0.0003028243999996,71.0,498.8,0.0002484868,71.0,501.6,0.0002007151999996,71.0,508.4,0.00024551187999984,515.0,0.005863414,71.0,542.2,0.032350846800000006,4989.4,562.1999999999999,0.020187507400000002,4514.8,545.0,0.0185130058,3925.6000000000004,540.0,0.020104507,4138.0,543.4,0.0199923336,3469.2,544.0,0.0137476192,2673.4,536.6,0.014628375200000002,3305.4,552.0,0.0154409368,2433.4,541.4,0.012939070000000002,1399.2,545.1999999999999,0.018656022422222224,726.2,46.6336017438,7600.0,743.4,51.278260704400004,7600.0,750.4000000000001,55.6355857784,7600.0,721.8000000000001,55.0608432462,7600.0,680.8000000000001,56.6922775986,7600.0,724.52,53.06011381428
7,70,518.6,0.0003078567999998,81.0,515.8,0.0002355048,81.0,515.1999999999999,0.0003489187999996001,81.0,495.6,0.0002821824000002,81.0,499.20000000000005,0.00023091019999959997,81.0,508.88,0.00028107459999984,517.0,0.005960781399999999,81.0,542.2,0.0366089746,5685.6,558.6,0.022782147999999995,5143.599999999999,544.0,0.0206751454,4474.4,541.8000000000001,0.022389176800000004,4715.0,545.6,0.022210413999999998,3950.0,542.4,0.0153334314,3038.8,536.0,0.016460414,3759.0,553.2,0.0172342476,2765.6000000000004,542.2,0.014802762,1583.8000000000002,545.1111111111111,0.02094407931111111,727.0,51.970320885999996,8700.0,745.8,57.2053605304,8700.0,755.1999999999999,61.9092685382,8700.0,741.4000000000001,61.7917259602,8700.0,705.4000000000001,63.9537062152,8700.0,734.9600000000002,59.36607642599999
8,80,521.8000000000001,0.0003442507999996,91.0,517.4,0.0002603028000002,91.0,517.2,0.0003939917999998,91.0,497.99999999999994,0.0003159512,91.0,498.4,0.0002566561999996,91.0,510.56,0.00031423055999984,520.1999999999999,0.0060740484,91.0,543.6,0.0398478444,6384.0,565.0,0.025001249399999998,5772.4,547.0,0.0229476348,5019.799999999999,543.6,0.0247701196,5301.8,549.6,0.024460002,4433.0,544.4,0.0168795672,3408.2,536.6,0.018069565200000002,4213.6,553.4,0.019433583799999998,3104.9999999999995,544.2,0.016321182800000004,1775.0,547.4888888888888,0.023081194355555553,725.3999999999999,57.325305203199996,9800.0,747.4,62.862654643000006,9800.0,759.4,67.97905331999999,9800.0,751.6,68.3007190244,9800.0,717.6,71.12152340940001,9800.0,740.28,65.51785112
9,90,522.6,0.0003778733999996,101.0,518.1999999999999,0.0002895494000002,101.0,520.4,0.00043140739999960004,101.0,501.6,0.0003500846000004,101.0,495.59999999999997,0.0002846627999992,101.0,511.68,0.0003467155199998,523.4,0.006234139599999999,101.0,542.0,0.0429648412,7082.2,563.0,0.0273996964,6400.6,547.2,0.025402970599999998,5566.4,539.2,0.026669330800000002,5873.0,552.0,0.026147484800000002,4919.8,545.0,0.018576604200000003,3775.8,536.0,0.019702639,4670.400000000001,552.6,0.0222184372,3442.0,545.8,0.0176087664,1961.0,546.9777777777778,0.0251878634,727.8,62.5790932866,10900.0,747.4,68.6164988502,10900.0,761.5999999999999,74.04171657,10900.0,757.2,74.5977293346,10900.0,721.0,78.1162794274,10900.0,743.0,71.59026349376
