Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
0,76.22231509,27.58044296,50.77308817,32.91893021,25.13581279,32.11450063,26.27455077,26.0865023,76.22231509,44.29586293,71.48976181,76.23318386,28.29011503,51.78397348,32.94989277,25.15110158,31.79957107,26.02846559,25.7555079,76.23318386,45.46695262,70.42308442,0.728659049,0.279730259,0.298503636,0.200211438,0.240053082,0.239353638,0.242093063,6.69241311,5.297067199,4.584103368,4.243127386
10,84.00543251,28.08190556,51.7551191,32.87714166,24.85374008,32.0518178,26.2536565,75.71040535,57.09360635,70.49728374,76.1700794,81.92630142,28.95301228,52.54435562,33.06687463,24.83914993,32.2090076,25.98947163,75.78475336,57.30161825,71.14447261,75.97972314,8.344574993,2.66396602,2.92941239,2.112429851,2.674397131,2.581249011,2.939665906,73.11925719,61.86868055,57.82653761,45.94235661
20,85.82323443,28.11324697,57.32344338,33.57709987,24.75971584,31.84287505,26.10739657,71.61512746,76.20142081,76.22231509,74.97910573,80.7954767,29.0310002,57.51608501,33.26184441,24.66367713,31.83856502,25.7555079,70.87151492,76.17469292,76.23318386,74.79040749,16.42548213,5.016498547,5.649643475,4.281431095,5.44425988,5.268850594,5.576573535,141.2500366,118.2077674,113.6667905,84.09165382
30,88.40367739,28.32218972,57.95027163,33.45173422,24.72837443,32.28165483,26.01337234,70.01671542,76.21186795,76.22231509,76.18052654,81.84831351,29.16747904,58.17898226,33.37882628,24.56619224,32.24800156,25.63852603,70.34509651,76.23318386,76.23318386,76.13569897,23.68191049,7.365907283,8.262129303,6.467980416,8.19041121,8.001137413,8.226706406,207.8392931,183.2185945,170.2359289,126.4289954
40,89.87672378,28.90722942,59.42331801,34.52778939,24.59256164,32.34433765,26.03426661,76.22231509,76.22231509,76.22231509,73.55829503,81.73133164,29.65490349,59.30980698,33.84675375,24.44921037,32.11152271,25.58003509,76.23318386,76.23318386,76.23318386,73.46461299,31.00323502,9.798442555,11.98028577,8.66894381,10.94441104,10.74940276,10.90332731,274.3978049,246.0467608,224.8006145,164.8938497
50,90.96322608,28.88633514,59.92478061,35.65608023,24.22691183,26.7551191,26.11784371,75.98203092,76.0029252,73.87170915,76.21186795,81.80931956,29.67440047,59.71924352,34.43166309,24.27373757,27.23727822,25.87248976,75.99922012,75.97972314,74.59543771,76.17469292,38.3074611,12.13917644,15.50738627,10.80478641,13.81598662,13.40314005,13.53514739,343.6321245,310.6073545,281.3777873,203.049443
60,91.6109486,29.17885499,60.50982031,35.92770581,24.28959465,26.99540326,26.4208107,75.02089428,76.03426661,75.77308817,74.98955286,81.71183467,29.92786118,60.42113472,34.86059661,24.23474361,27.35426009,26.16494443,75.18034705,76.03821408,75.74575941,75.0438682,45.61222399,14.5338043,18.58984764,12.97164994,16.56250481,16.0764428,16.17960558,412.9466372,374.7669677,339.0313957,247.1486525
70,92.07062265,29.66987046,60.79189302,37.01420811,24.22691183,27.48641872,26.54617635,76.19097367,76.22231509,76.0865023,72.9941496,81.82881653,30.31780074,60.6161045,35.77695457,24.1567557,27.86118152,26.12595048,76.23318386,76.23318386,76.07720803,73.77656463,52.90548034,16.92805325,21.39570364,15.13935514,19.31607432,18.7800426,18.85801849,480.5681227,438.2182944,393.6760598,292.4914867
80,92.51984956,29.81613038,60.99038863,37.41119933,24.2478061,27.43418303,26.7551191,76.19097367,75.87755955,76.1700794,76.79690765,81.92630142,30.43478261,60.79157731,36.03041529,24.21524664,27.90017547,26.4573991,76.21368688,75.76525639,76.17469292,76.8180932,60.23895286,19.32335393,24.11447129,17.29028062,22.05689777,21.41553238,21.56736736,547.5675363,499.4638481,448.4910318,335.3369247
90,92.79147514,30.67279565,61.18888425,37.82908483,24.31048893,27.61178437,26.29544505,75.97158379,76.20142081,76.19097367,75.02089428,81.90680445,31.27315266,60.83057126,36.51783973,24.3322285,28.03665432,26.16494443,76.13569897,76.23318386,76.21368688,74.96588029,67.57766828,21.80318805,26.76981461,19.47350449,24.84243819,24.00634568,24.21924228,613.2763764,564.9915841,504.1836046,380.9111545
100,92.9481822,31.00710405,61.82615963,38.20518178,24.39406603,27.79983285,26.07605516,75.59548684,76.02381947,76.23276222,76.65064772,81.78982258,31.3316436,61.31799571,36.73230649,24.41021642,28.34860597,25.79450185,75.55078963,76.07720803,76.23318386,76.31117177,75.50396454,24.19159822,29.48473387,21.64118489,27.54813376,26.68813145,26.91041255,677.7441002,630.2526483,560.2268088,426.7714708
110,93.1989135,31.00710405,62.33806937,39.11408274,24.56122023,28.24905976,25.92979524,76.22231509,76.1700794,75.04178855,73.53740075,81.67284071,31.48761942,61.82491714,37.66816144,24.46870735,28.91401833,25.63852603,76.23318386,76.21368688,74.71241958,73.69857672,82.77406378,26.54903998,32.270174,23.77786623,30.28877816,29.37318908,29.76032764,744.1912164,693.6391958,616.7512212,471.0044723
120,93.32427915,31.32051818,62.50522357,40.1901379,24.64479733,28.43710823,25.835771,76.20142081,76.06560802,76.14918512,74.63435019,81.43887697,31.6825892,62.2148567,38.95496198,24.42971339,28.97250926,25.50204718,76.1941899,76.09670501,76.13569897,74.75141353,90.0369352,29.49236392,34.9780547,25.9648156,33.01720054,32.07340544,33.24180752,809.8568276,757.4350317,674.9050591,515.7180339
130,93.50188048,31.31007104,62.91266193,40.3572921,24.89552863,28.75052236,25.69995821,76.02381947,76.19097367,76.15963226,77.12076891,81.80931956,31.56560733,62.46831741,39.26691363,24.6051862,29.47943069,25.38506531,76.11620199,76.17469292,76.33066875,76.97406902,97.478673,32.24929827,37.70966504,28.15344392,35.6855853,34.79603097,36.16104699,874.243498,825.1987841,734.4355853,557.4050309
140,93.16757209,31.73840368,62.95445048,40.37818638,24.88508149,29.19974927,25.5850397,76.22231509,76.30589219,75.74174676,76.46259925,81.49736791,31.83856502,62.44882043,39.3838955,24.6051862,29.96685514,25.36556834,76.23318386,76.23318386,75.16085007,75.76525639,104.7802964,34.81234353,40.47560062,30.30807631,38.47512071,37.43887146,38.83899421,940.1071844,890.6866028,793.7851164,600.9717237
150,93.55411617,31.79063936,63.21562892,41.16172169,25.11491851,29.11617217,25.53280401,76.22231509,76.21186795,75.59548684,75.86711241,81.71183467,31.91655293,62.78026906,40.14427764,24.74166504,29.96685514,25.32657438,76.1941899,76.23318386,75.57028661,76.29167479,112.0868779,37.37895747,43.19344201,32.48715092,41.21497158,40.04992048,41.48815085,1005.443139,958.7989753,847.9927824,644.9086299
160,92.77058086,31.98913498,64.8558295,42.77058086,25.30296699,29.45048057,25.49101546,75.84621814,76.21186795,74.01796908,77.48641872,81.36088906,32.18951063,64.18405147,41.66504192,24.99512576,30.14232794,25.20959251,75.70676545,76.29167479,73.19165529,77.20803275,119.446484,40.09108224,46.17562954,34.67695058,43.94297714,42.70638845,44.28572001,1071.697254,1023.368521,903.3410229,686.620056
170,93.46009193,31.99958211,65.26326786,42.79147514,25.64772252,30.80860844,25.47012119,76.20142081,76.18052654,74.00752194,76.29544505,81.51686489,32.38448041,64.65197894,41.8600117,25.3070774,31.99454085,25.15110158,76.23318386,76.09670501,73.32813414,75.86274128,127.4602679,43.84777408,48.91827016,36.84048974,46.60283402,45.39813564,46.93291033,1137.48062,1088.222397,960.9290863,729.5553605
180,93.76305892,32.15628918,65.38863351,43.75261178,26.01337234,30.98620978,25.79398245,76.22231509,76.24320936,75.12536565,76.88048475,81.73133164,32.44297134,64.57399103,42.81536362,25.85299279,32.15051667,25.46305323,76.23318386,76.23318386,74.79040749,76.74010528,135.3648041,47.66454037,51.61384241,38.99138168,49.32703348,48.06789485,49.61816488,1203.026908,1151.383284,1017.603591,769.7008476
190,93.90931885,32.3025491,65.6916005,44.19139156,26.18052654,31.2996239,25.74174676,76.22231509,76.3372336,75.64772252,76.18052654,81.78982258,32.61844414,64.90543966,42.93234549,26.02846559,32.34548645,25.38506531,76.25268083,76.40865666,75.45330474,76.29167479,143.2596087,50.64679246,54.31845162,41.16675668,51.85466459,50.71226297,52.29783737,1269.180676,1216.980533,1073.629715,814.702132
200,94.01379022,32.218972,65.73338905,44.43167572,26.15963226,32.43836189,25.61638111,76.23276222,76.01337234,75.51190974,77.43418303,81.69233769,32.50146227,65.10040944,43.02983038,26.04796257,33.39832326,25.3070774,76.23318386,75.92123221,75.19984402,77.3445116,151.29743,53.33446333,57.0390937,43.31463532,54.50134911,53.34361444,55.00122238,1332.667208,1284.67497,1129.554536,859.1204181
210,94.14960301,32.52193899,66.06769745,45.41370664,26.65064772,34.04722106,25.65816966,76.22231509,76.20142081,74.4149603,76.13873799,81.55585884,33.0083837,65.25638526,43.8097095,26.61337493,35.36751803,25.38506531,76.23318386,76.27217781,73.91304348,76.09670501,159.1658607,56.03434456,59.70191282,45.47772266,57.36871271,56.0253911,57.67154647,1395.758802,1352.507426,1184.35411,902.064244
220,94.2018387,32.6368575,66.90346845,46.08232344,26.87003761,34.85165065,25.30296699,76.22231509,76.21186795,74.17467614,77.77893857,81.57535582,32.96938974,66.30922207,45.03801911,26.61337493,36.32286996,25.15110158,76.23318386,76.17469292,73.28914018,77.32501462,167.027767,58.689154,62.37659038,47.63763625,60.11936739,58.64221216,60.34954986,1460.443218,1415.38983,1240.033846,947.8812488
230,94.31675721,33.12787296,66.79899707,46.20768909,27.81027998,34.98746344,25.3343084,76.22231509,76.12829085,74.27914751,76.64020059,81.67284071,33.67128095,66.28972509,45.135504,27.45174498,36.18639111,25.1316046,76.23318386,76.05771105,73.73757068,76.87658413,174.9362329,61.48859612,65.1202375,49.81543633,62.912683,61.32983927,63.00836086,1526.708434,1480.447169,1295.439469,990.6685249
240,94.31675721,33.93230255,67.63476807,46.67781028,28.23861262,35.73965733,25.26117844,76.22231509,76.1700794,74.51943168,77.12076891,81.69233769,34.45116007,66.95262234,45.72041334,27.95866641,36.88828232,24.97562878,76.23318386,76.25268083,73.83505557,76.95457204,182.8180977,64.14456813,67.73929292,51.97662846,65.58222342,63.96692413,65.65488164,1592.624446,1542.303776,1353.796108,1035.269744
