,iterations,SA 0.15 fitness,SA 0.15 time,SA 0.15 feval,SA 0.35 fitness,SA 0.35 time,SA 0.35 feval,SA 0.55 fitness,SA 0.55 time,SA 0.55 feval,SA 0.75 fitness,SA 0.75 time,SA 0.75 feval,SA 0.95 fitness,SA 0.95 time,SA 0.95 feval,SA fitness,SA time,RHC fitness,RHC time,RHC feval,"GA (100,50,50) fitness","GA (100,50,50) time","GA (100,50,50) feval","GA (100,50,30) fitness","GA (100,50,30) time","GA (100,50,30) feval","GA (100,50,10) fitness","GA (100,50,10) time","GA (100,50,10) feval","GA (100,30,50) fitness","GA (100,30,50) time","GA (100,30,50) feval","GA (100,30,30) fitness","GA (100,30,30) time","GA (100,30,30) feval","GA (100,30,10) fitness","GA (100,30,10) time","GA (100,30,10) feval","GA (100,10,50) fitness","GA (100,10,50) time","GA (100,10,50) feval","GA (100,10,30) fitness","GA (100,10,30) time","GA (100,10,30) feval","GA (100,10,10) fitness","GA (100,10,10) time","GA (100,10,10) feval",GA fitness,GA time,"MIMIC (100,50,0.1) fitness","MIMIC (100,50,0.1) time","MIMIC (100,50,0.1) feval","MIMIC (100,50,0.3) fitness","MIMIC (100,50,0.3) time","MIMIC (100,50,0.3) feval","MIMIC (100,50,0.5) fitness","MIMIC (100,50,0.5) time","MIMIC (100,50,0.5) feval","MIMIC (100,50,0.7) fitness","MIMIC (100,50,0.7) time","MIMIC (100,50,0.7) feval","MIMIC (100,50,0.9) fitness","MIMIC (100,50,0.9) time","MIMIC (100,50,0.9) feval",MIMIC fitness,MIMIC time
0,0,0.020441078105759996,2.3558199609399997e-05,11.0,0.0201459592722,1.9910999981212002e-05,11.0,0.022209885413619998,1.546200037408e-05,11.0,0.0209765588343,1.3565799963555999e-05,11.0,0.02037080802604,9.773199781185999e-06,11.0,0.020828857930383998,1.64540399418868e-05,0.022577348094100003,5.6816000142212e-05,11.0,0.0381834889779,0.008609982599948,801.8000000000001,0.037983467181699995,0.0047341010005779996,727.4000000000001,0.03983089147544,0.0044065524001779995,646.6000000000001,0.03259437877786,0.00407382599988,677.0,0.0347944031596,0.002755754799728,579.6,0.034055259060979996,0.003142525999282,464.8,0.029136417426119998,0.001362269200398,560.8000000000001,0.02846561683386,0.001163815000108,439.79999999999995,0.02896981984652,0.0010027024003656,288.59999999999997,0.033779304748886664,0.0034723921556072887,0.02356840809854,1.8027865329999997,1000.0,0.022792749058120003,1.5746730078,1000.0,0.02275547540852,1.5832570256,1000.0,0.02261487244204,1.6007362729999999,1000.0,0.022789308697419998,1.6378539916,1000.0,0.022904162740927998,1.6398613662
1,10,0.0210068329361,5.0470999485740004e-05,21.0,0.02008659157854,3.974920036854e-05,21.0,0.022325994200860004,3.143500071018e-05,21.0,0.020567996632680004,3.128880016448e-05,21.0,0.02014591467968,3.850959983534e-05,21.0,0.020826666005572002,3.8290720112856e-05,0.023289776807499996,9.97744002233e-05,21.0,0.04653917593662,0.014007859799676,1492.0,0.049109650440959995,0.008623037800508,1357.0,0.05055414588816,0.009533916200225999,1195.8,0.04291618097506,0.006917102200534,1249.3999999999999,0.04152665956734,0.005962317199008001,1066.2,0.04255972614094,0.005932413999469999,832.2,0.03158322804876,0.002605363600378,1020.2,0.03156343424874,0.002436958400358,772.0,0.03165789081254,0.002173591799874,473.8,0.04089001022879111,0.006465840111114667,0.025446055470619997,3.3846001865999997,2100.0,0.02329683403732,3.1266920704,2100.0,0.022620946050180002,3.1758271947999996,2100.0,0.022607332218459997,3.2037718041999996,2100.0,0.02216984619482,3.2860174113999996,2100.0,0.023228202794280003,3.2353817334799997
2,20,0.021889604821059998,7.658140020786e-05,31.0,0.02038643773184,6.790200022800001e-05,31.0,0.022471408004180002,8.314540027644e-05,31.0,0.020254212701920002,4.871980054304e-05,31.0,0.020719575295659997,5.84933997743e-05,31.0,0.021144247710932002,6.6968400205928e-05,0.0240793121813,0.00014346220013982002,31.0,0.05381780870054001,0.02061615699932,2189.6,0.0557369926518,0.01327785920076,1985.4,0.05649176135112001,0.013924349999799999,1746.0,0.04688271078764,0.009592774801054,1822.9999999999998,0.04505016264825999,0.008558272399388,1549.8,0.04835129927152,0.008868535399232,1200.6000000000001,0.03511743055224,0.0038628989997960004,1476.6000000000001,0.03380332311066,0.003722573600316,1105.6,0.03434525783572,0.0031487251999339997,659.4,0.045510749656611116,0.009508016288844444,0.0263566549608,4.9653406826,3200.0,0.022805207253020005,4.7046361876,3200.0,0.02282715684892,4.784166591,3200.0,0.02290303873314,4.8237114946,3200.0,0.02215631209214,4.926125733599999,3200.0,0.023409673977604004,4.84079613788
3,30,0.0224954867822,0.0001115167993703,41.0,0.021141659774,9.357480084868001e-05,41.0,0.02231967636992,0.00010094159988502,41.0,0.020333506656539997,6.928720067662e-05,41.0,0.02071882360854,6.892279998284e-05,41.0,0.02140183063824,8.8848640152692e-05,0.02440602703568,0.00021668820008936,41.0,0.059057781627200004,0.026422394399559998,2895.2,0.058852819515240004,0.01696615340042,2615.5999999999995,0.06250470433468,0.01812362299932,2293.3999999999996,0.048975262833919994,0.01226844720116,2397.8,0.05210371176444001,0.011548292399324001,2031.8000000000002,0.055171569498000006,0.012027690198739999,1570.8,0.03812713982764,0.0053243592003140005,1930.3999999999999,0.03657715429052,0.005088489800254,1440.1999999999998,0.03761958630266,0.00440713600001,846.2,0.04988774777714444,0.012464065066566889,0.026726091098719998,6.558607521599999,4300.0,0.02334981174338,6.267262177199999,4300.0,0.02301087303564,6.377832162200001,4300.0,0.0226370494526,6.4302579436,4300.0,0.023215505889179998,6.5712621556,4300.0,0.023787866243904,6.44104439204
4,40,0.0232159666851,0.00013893979958086,51.0,0.02207968720398,0.00011341280114725999,51.0,0.02222388267868,0.00011385119942128,51.0,0.02096982033652,9.722100076022001e-05,51.0,0.02050306004278,8.234279994209999e-05,51.0,0.021798483389412,0.00010915352017034399,0.02498572830898,0.00027664040062509997,51.0,0.06137950675584001,0.03187468059952,3590.6,0.06602889852342,0.02040369940078,3241.7999999999997,0.06661630296203999,0.02185013479976,2838.6000000000004,0.05325035521696,0.015548235801180001,2967.5999999999995,0.05738518824082,0.014699716599379999,2515.8,0.061694988357279996,0.014164741798939999,1935.1999999999998,0.03960926726086,0.0067379014006280005,2384.0,0.03939490818790001,0.0063086097998160005,1776.6000000000001,0.03961302047168,0.005347406800138,1030.9999999999998,0.05388582621964444,0.015215014111126888,0.02789731973074,8.1314549804,5400.0,0.0234412516179,7.8411067228,5400.0,0.022543664210899997,7.9712090594000005,5400.0,0.022942383853419998,8.0387146912,5400.0,0.02261376608302,8.2175739892,5400.0,0.023887677099195998,8.0400118886
5,50,0.02383176347352,0.00016373779944842001,61.0,0.02304434765966,0.00013828360060872002,61.0,0.022719676179779998,0.00012442679981183999,61.0,0.021511731312659998,0.00011902840124114,61.0,0.02061996150748,9.598159995218e-05,61.0,0.022345496026620004,0.00012829164021246,0.025424989470839997,0.00031040880021528,61.0,0.06436839596248001,0.03725716919982,4284.4,0.0723829271708,0.02371412040082,3866.9999999999995,0.0714751226414,0.0255375537996,3384.6,0.05775832084356,0.01905426720076,3547.0,0.05932267995486,0.01729625539882,2997.8,0.06415642951129999,0.01631951679846,2303.2,0.041817665225220006,0.007870062800427999,2837.0,0.04139574333794,0.007664242199462001,2109.6,0.04103288760928,0.006368270200258,1216.0,0.05707890802853778,0.017897939777603112,0.028838799916140002,9.733287239400001,6500.0,0.02264751222824,9.4292906882,6500.0,0.02224253570608,9.5694096942,6500.0,0.02236498792252,9.647695837,6500.0,0.02238870346372,9.8625080908,6500.0,0.023696507847340002,9.648438309920001
6,60,0.02446979295894,0.0001796371987439,71.0,0.02472778510022,0.00015680900069123998,71.0,0.02358627224278,0.0001420035998308,71.0,0.021539273096979998,0.00014105460177242,71.0,0.0213739627897,0.00010794320005526002,71.0,0.023139417237724,0.000145489520218724,0.02583062830038,0.00035300240015143997,71.0,0.06913564172332001,0.042348576199580004,4985.6,0.07626578549922,0.027015497600579995,4493.0,0.07404041393206001,0.02911688379972,3929.4,0.0605017085901,0.021540018600360002,4129.2,0.0612648414567,0.019712208398800002,3478.8,0.06465805579140001,0.01915156079814,2670.3999999999996,0.041895163830140005,0.009729963800418,3291.0,0.042258630881560004,0.00932459439936,2443.0,0.04272741650352,0.007378630600214,1403.0000000000002,0.05919418424533557,0.020590881577463558,0.02888392838912,11.304487255,7600.0,0.0225745570257,11.002723446000001,7600.0,0.022533963541020004,11.159597752,7600.0,0.022651869925399998,11.2597737062,7600.0,0.02288713597464,11.5080115192,7600.0,0.023906290971175997,11.246918735680001
7,70,0.0250984564287,0.00019312999866099998,81.0,0.02535775511816,0.00017591780015209998,81.0,0.024273549092319997,0.00015987280021370002,81.0,0.02203550376868,0.00016198640187220002,81.0,0.020840394679359997,0.00012318659973984,81.0,0.023521131817444,0.000162818720127768,0.02631945307412,0.0003855310005738199,81.0,0.07345575755024,0.04760306459976,5690.0,0.0797178874509,0.03053874120088,5125.200000000001,0.08071927586794,0.03222418199982,4479.6,0.060784729665659995,0.024621717400820003,4702.2,0.06490356670602,0.02196500739886,3960.8,0.07009770487872,0.02154592519802,3034.6000000000004,0.04432083588394,0.011071592600994001,3745.4,0.0441277226558,0.010515759199556,2779.6,0.04541571755736,0.008924257000041999,1587.3999999999999,0.06261591091295333,0.023223360733194667,0.028449251796280002,12.870416591000001,8700.0,0.022156731951219998,12.560907582799999,8700.0,0.02322233595414,12.752165441199999,8700.0,0.0222200138827,12.894057922399998,8700.0,0.02231234160132,13.1456588146,8700.0,0.023672135037132,12.8446412704
8,80,0.025701818281260003,0.00021501039882419997,91.0,0.026069018618220002,0.00019918360012518,91.0,0.025247392377299997,0.00017548059986420003,91.0,0.02201282950852,0.000188315601554,91.0,0.02062207890086,0.00014193040005922,91.0,0.023930627537232,0.00018398412008536,0.02659037398008,0.00042812480060078006,91.0,0.07477474091554,0.052935373999240004,6391.6,0.08058994896562,0.03364749820066,5757.400000000001,0.0817907106591,0.03538187880004,5028.0,0.06702572313855999,0.027435527800480003,5273.6,0.06743150192208,0.02449612419914,4434.0,0.07122831123664,0.02388923559774,3401.8,0.044593239890219995,0.012389444800640002,4206.400000000001,0.04519807232992,0.01183725819902,3111.6000000000004,0.0459501821959,0.009852931199926,1772.9999999999998,0.06428693680595332,0.025762808088542886,0.0296069814041,14.4015980668,9800.0,0.02313589311764,14.0943527242,9800.0,0.023494925196099997,14.340955054200002,9800.0,0.022518064669539997,14.5041253538,9800.0,0.02228157125656,14.794454867599997,9800.0,0.024207487128788,14.42709721332
9,90,0.02584971339072,0.00023659939906779995,101.0,0.02645823770018,0.0002195321994804,101.0,0.026085345727020003,0.000190578400725,101.0,0.02147970690286,0.00021085240114200002,101.0,0.02016462649178,0.00015411080057682,101.0,0.024007526042512002,0.00020233464019840398,0.02686089011476,0.00048020000067404,101.0,0.07752700981006,0.056766255199619996,7089.0,0.08321717962188,0.0365754510014,6391.8,0.07962430901254,0.038599016600700004,5573.4,0.07006993770471999,0.03044983500074,5842.199999999999,0.06883383915906,0.02719798019898,4916.2,0.07544389321351999,0.02614261759772,3765.8000000000006,0.048008083786979995,0.01358338160132,4662.2,0.04699537384298,0.01308348919882,3447.6,0.046416576879340005,0.010825366000426,1961.8000000000002,0.06623735589234223,0.028135932488858442,0.030461736362579997,15.9618002992,10900.0,0.023070783787140003,15.630052925600001,10900.0,0.0222767711951,15.939599203,10900.0,0.02274772229276,16.114809738,10900.0,0.023106550338040002,16.4405431568,10900.0,0.024332712795124,16.017361064520003
10,100,0.026149989525940002,0.000252499198905,111.0,0.02743621305978,0.0002376927997826,111.0,0.0263432423968,0.0002078640009132,111.0,0.021842281993319997,0.0002387862008618,111.0,0.02019528452266,0.00016774940086173998,111.0,0.0243934022997,0.000220918320264868,0.027488417552400002,0.0005274618004482601,111.0,0.07942698294978,0.06096625719953999,7787.6,0.07967495597259999,0.03983481780162,7032.599999999999,0.0826576476883,0.04198346600058,6120.0,0.07123117124358,0.0333704214012,6407.400000000001,0.06799460420338001,0.02980888679958,5394.799999999999,0.07618927888723999,0.0281060853973,4130.6,0.04570788378234,0.01510844080148,5123.2,0.04750984417799999,0.01440352959908,3779.3999999999996,0.04844128958792,0.01176658479998,2145.6,0.06653707316590445,0.030594276644484445,0.03078899497866,17.498514946,12000.0,0.02252210872636,17.1688710742,12000.0,0.022391527676199997,17.5288921364,12000.0,0.023467591565919998,17.7818165706,12000.0,0.02234553866308,18.0913751748,12000.0,0.024303152322044,17.6138939804
11,110,0.026693827465100003,0.000276421998933,121.0,0.027987359915860002,0.0002653350002222,121.0,0.026893234506440003,0.000229526000476,121.0,0.02244682638454,0.00027875440027859996,121.0,0.0203555397399,0.0001770122009474,121.0,0.024875357602368,0.00024540992017144,0.02805822428802,0.000575452600606,121.0,0.08497355014516,0.064622314399,8482.6,0.08542868441776,0.04310388500198001,7660.0,0.08886090868026,0.04522343220016001,6670.199999999999,0.07456002214406,0.03583101040166,6986.6,0.07164142440936001,0.032596148799320004,5882.200000000001,0.07458393118692,0.0300506631971,4499.200000000001,0.04929369089978,0.01746735920098,5581.999999999999,0.049832614592979996,0.015489158598940001,4116.400000000001,0.05010386611658,0.01268453759984,2331.6,0.06991985473253999,0.03300761215544223,0.030536492568240002,19.035509588199997,13100.0,0.023214403931699996,18.709129532,13100.0,0.02221980896806,19.119503651800002,13100.0,0.02231202214138,19.413627288,13100.0,0.022613913646240002,19.732191763000003,13100.0,0.024179328251123997,19.201992364600002
12,120,0.02732707908516,0.0002915923985708,131.0,0.02839516386168,0.0003036252001042,131.0,0.02735890238294,0.0002418520001812,131.0,0.023204694631039996,0.00030552120006160005,131.0,0.020641163118120004,0.0001884628014522,131.0,0.025385400615788,0.000266210720074,0.028850412813340002,0.000606012400749,131.0,0.08479334104938,0.06828420619934002,9182.6,0.08536503279278,0.046093102801740005,8289.0,0.08704541498088002,0.04831133040062,7218.8,0.07746030998712,0.03833412040146,7557.4,0.07370722974482,0.03514834339948,6365.6,0.07783459236055999,0.0319509697969,4867.8,0.048973664188479996,0.01875837120096,6037.599999999999,0.04941057168942,0.016618183598959998,4447.8,0.05269181352274,0.01362684999986,2516.0,0.07080910781290889,0.035236164199924445,0.031037213196980003,20.5822894782,14200.0,0.021822818849600002,20.239020943199996,14200.0,0.022617202155179997,20.716837898,14200.0,0.023254327364660002,21.036116547599995,14200.0,0.0235551519061,21.372974801799998,14200.0,0.024457342694503996,20.78944793376
13,130,0.02769345069972,0.00030574159827659997,141.0,0.02884514190328,0.0003285686001617999,141.0,0.02812316776376,0.00026373239961679997,141.0,0.02384414962622,0.00033104819995060004,141.0,0.02075201028424,0.00020195580109460003,141.0,0.025851584055443997,0.00028620931982008003,0.02914660962124,0.0006522530009522001,141.0,0.08215657564558,0.07159856559984,9879.4,0.08710572763895999,0.04903732000204,8919.6,0.08725734281519999,0.051434018000860005,7768.200000000001,0.07473424063342,0.041093886001180004,8142.6,0.07523907047218,0.037383929799760005,6847.6,0.07663347699716,0.03403375859672,5232.6,0.0471809518087,0.01986930840138,6493.4,0.051554100173779996,0.0178013989993,4780.6,0.0538324737479,0.01467739759974,2703.2,0.07063266221476444,0.037436620333424445,0.032348362453520005,22.1121020474,15300.0,0.02285541671542,21.767482766999997,15300.0,0.023015423214440004,22.341557711200004,15300.0,0.022650800238039996,22.645355735800003,15300.0,0.023013529791080005,23.026992011999997,15300.0,0.024776706482500004,22.37869805468
14,140,0.02817920037014,0.0003196721980204,151.0,0.02905489480034,0.0003534388000844,151.0,0.028483277012039995,0.0002940731996206,151.0,0.024262843599920005,0.00036547320014519995,151.0,0.020597191858999997,0.00022529480193020002,151.0,0.026115481528288,0.00031159043996016,0.02965525360528,0.000683979400855,151.0,0.07989956671163999,0.07552506360004,10573.4,0.09001436099799999,0.05234000960262,9551.8,0.08699292164422001,0.05453190800072,8321.2,0.07856649021984,0.0443882612013,8715.6,0.07651292146453999,0.03932639259944,7330.8,0.07559687648128,0.0362211351963,5602.200000000001,0.05034803812618,0.0212482796018,6953.200000000001,0.051869292396300004,0.01898607299882,5112.6,0.05459155456078,0.01564180940004,2887.3999999999996,0.0715991136225311,0.03980099246678667,0.032255097958319996,23.680459662400004,16400.0,0.023033300578160002,23.289284218200002,16400.0,0.02286457201746,23.980821233999997,16400.0,0.02328172846774,24.2875413034,16400.0,0.022687055542420002,24.6749693032,16400.0,0.024824350912820002,23.98261514424
